# n_pixels = 355530000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.382177e+01,1.394212e-03,98281080
3.000000e-02,2.000000e-02,4.000000e-02,1.892586e+00,5.159109e-04,13457425
5.000000e-02,4.000000e-02,6.000000e-02,1.437483e+00,4.496228e-04,10221369
7.000000e-02,6.000000e-02,8.000000e-02,1.230405e+00,4.159785e-04,8748916
9.000000e-02,8.000000e-02,1.000000e-01,1.110845e+00,3.952515e-04,7898771
1.100000e-01,1.000000e-01,1.200000e-01,1.034148e+00,3.813626e-04,7353410
1.300000e-01,1.200000e-01,1.400000e-01,9.859417e-01,3.723681e-04,7010637
1.500000e-01,1.400000e-01,1.600000e-01,9.468949e-01,3.649201e-04,6732991
1.700000e-01,1.600000e-01,1.800000e-01,9.235162e-01,3.603870e-04,6566754
1.900000e-01,1.800000e-01,2.000000e-01,9.030952e-01,3.563803e-04,6421549
2.100000e-01,2.000000e-01,2.200000e-01,8.834136e-01,3.524755e-04,6281601
2.300000e-01,2.200000e-01,2.400000e-01,8.715343e-01,3.500976e-04,6197132
2.500000e-01,2.400000e-01,2.600000e-01,8.715783e-01,3.501064e-04,6197445
2.700000e-01,2.600000e-01,2.800000e-01,8.644908e-01,3.486800e-04,6147048
2.900000e-01,2.800000e-01,3.000000e-01,8.612945e-01,3.480348e-04,6124321
3.100000e-01,3.000000e-01,3.200000e-01,8.617271e-01,3.481222e-04,6127397
3.300000e-01,3.200000e-01,3.400000e-01,8.637313e-01,3.485268e-04,6141648
3.500000e-01,3.400000e-01,3.600000e-01,8.652567e-01,3.488344e-04,6152494
3.700000e-01,3.600000e-01,3.800000e-01,8.688676e-01,3.495616e-04,6178170
3.900000e-01,3.800000e-01,4.000000e-01,8.704810e-01,3.498860e-04,6189642
4.100000e-01,4.000000e-01,4.200000e-01,8.754070e-01,3.508746e-04,6224669
4.300000e-01,4.200000e-01,4.400000e-01,8.803149e-01,3.518568e-04,6259567
4.500000e-01,4.400000e-01,4.600000e-01,8.819458e-01,3.521825e-04,6271164
4.700000e-01,4.600000e-01,4.800000e-01,8.877754e-01,3.533446e-04,6312616
4.900000e-01,4.800000e-01,5.000000e-01,8.863313e-01,3.530571e-04,6302347
5.100000e-01,5.000000e-01,5.200000e-01,8.818062e-01,3.521547e-04,6270171
5.300000e-01,5.200000e-01,5.400000e-01,8.781703e-01,3.514279e-04,6244318
5.500000e-01,5.400000e-01,5.600000e-01,8.735906e-01,3.505103e-04,6211753
5.700000e-01,5.600000e-01,5.800000e-01,8.705800e-01,3.499059e-04,6190346
5.900000e-01,5.800000e-01,6.000000e-01,8.572343e-01,3.472135e-04,6095450
6.100000e-01,6.000000e-01,6.200000e-01,8.485474e-01,3.454498e-04,6033681
6.300000e-01,6.200000e-01,6.400000e-01,8.304635e-01,3.417489e-04,5905094
6.500000e-01,6.400000e-01,6.600000e-01,8.107465e-01,3.376676e-04,5764894
6.700000e-01,6.600000e-01,6.800000e-01,7.790804e-01,3.310076e-04,5539729
6.900000e-01,6.800000e-01,7.000000e-01,7.445756e-01,3.235946e-04,5294379
7.100000e-01,7.000000e-01,7.200000e-01,7.065525e-01,3.152239e-04,5024012
7.300000e-01,7.200000e-01,7.400000e-01,6.550823e-01,3.035252e-04,4658028
7.500000e-01,7.400000e-01,7.600000e-01,5.990582e-01,2.902561e-04,4259663
7.700000e-01,7.600000e-01,7.800000e-01,5.366598e-01,2.747239e-04,3815973
7.900000e-01,7.800000e-01,8.000000e-01,4.687595e-01,2.567568e-04,3333161
8.100000e-01,8.000000e-01,8.200000e-01,3.922810e-01,2.348797e-04,2789353
8.300000e-01,8.200000e-01,8.400000e-01,3.112481e-01,2.092186e-04,2213161
8.500000e-01,8.400000e-01,8.600000e-01,2.315315e-01,1.804479e-04,1646328
8.700000e-01,8.600000e-01,8.800000e-01,1.602266e-01,1.501116e-04,1139307
8.900000e-01,8.800000e-01,9.000000e-01,9.770737e-02,1.172224e-04,694758
9.100000e-01,9.000000e-01,9.200000e-01,5.142646e-02,8.504332e-05,365673
9.300000e-01,9.200000e-01,9.400000e-01,2.313841e-02,5.704448e-05,164528
9.500000e-01,9.400000e-01,9.600000e-01,8.190026e-03,3.393826e-05,58236
9.700000e-01,9.600000e-01,9.800000e-01,2.170562e-03,1.747161e-05,15434
9.900000e-01,9.800000e-01,1.000000e+00,3.385087e-04,6.899725e-06,2407
