# T0 = 11725.849451487029 K
# gamma = 1.0561271972329527
# gamma_err = 0.03527523588952024
# T0_err = 2329.439324144586 K
# n_bins_fit = 30
# n_pixels = 329539001
log_density,log_temperature
2.034078e-01,3.984798e+00
1.434497e+00,4.535127e+00
-2.323896e-01,3.745254e+00
-1.139564e-01,3.803765e+00
-2.573799e-01,3.726199e+00
1.504320e-01,3.944871e+00
-2.208040e-01,3.744667e+00
3.237599e-02,3.889557e+00
2.822559e-01,4.018765e+00
-2.885793e-01,3.708676e+00
2.195085e-01,4.028594e+00
5.213497e-01,4.158900e+00
-3.273478e-01,3.692093e+00
1.336434e+00,4.511029e+00
-7.578302e-02,3.822896e+00
-8.786172e-03,3.859353e+00
-1.703342e-01,3.773825e+00
3.298122e-01,4.042052e+00
1.096530e+00,4.519503e+00
9.075970e-02,3.913335e+00
8.906078e-02,3.908156e+00
1.633612e-01,3.956762e+00
9.952973e-03,3.869049e+00
2.573876e-01,4.005583e+00
6.218682e-01,4.237902e+00
-1.358640e-01,3.790947e+00
-3.458600e-01,3.676988e+00
6.625357e-01,4.213374e+00
1.802878e-02,3.874161e+00
8.225439e-01,4.413945e+00
-2.874228e-01,3.711984e+00
2.899427e-02,3.952437e+00
-3.871281e-01,3.653268e+00
7.728258e-01,4.287028e+00
4.364773e-01,4.103433e+00
4.511056e-01,4.162148e+00
-7.153871e-02,3.827813e+00
-3.434207e-01,3.677797e+00
-4.049625e-02,3.846130e+00
-3.780740e-01,3.697024e+00
1.324545e-01,3.938826e+00
-1.945362e-01,4.536888e+00
4.603442e-02,3.894845e+00
4.173758e-01,4.173549e+00
2.644425e-02,3.880346e+00
-9.776421e-02,3.811388e+00
1.270335e-02,3.872093e+00
2.677355e-01,4.010554e+00
-2.483772e-01,3.730717e+00
1.161033e+00,4.444070e+00
-3.667168e-01,3.665991e+00
2.634421e-01,4.006262e+00
-6.475570e-02,3.829504e+00
-6.705064e-02,3.995970e+00
-2.277766e-01,3.750712e+00
-2.193446e-01,3.746269e+00
-1.665654e-01,3.773103e+00
1.968478e-01,3.968289e+00
3.977535e-01,4.076583e+00
5.403582e-01,4.163279e+00
8.176042e-02,3.908565e+00
3.824993e-03,4.088325e+00
1.884890e-02,3.873564e+00
-9.424500e-02,3.814259e+00
2.848451e-01,4.019427e+00
-1.681447e-01,3.773689e+00
2.271113e-01,3.989153e+00
7.134143e-02,3.902622e+00
2.015063e-01,3.979798e+00
7.920301e-02,3.910236e+00
1.107544e-01,3.928100e+00
-2.023375e-01,4.562622e+00
9.735076e-01,4.393604e+00
1.291593e-01,3.934101e+00
3.802463e-01,4.069105e+00
-2.850664e-01,3.709290e+00
7.310636e-01,4.254710e+00
-8.871469e-02,3.816041e+00
-2.639164e-01,3.789897e+00
1.236709e-01,3.931097e+00
-6.828175e-02,3.826807e+00
1.398226e-01,3.946996e+00
5.401472e-02,3.892787e+00
-2.014111e-01,3.755099e+00
7.539482e-01,4.260466e+00
3.301246e-01,5.045266e+00
1.202003e-01,3.927273e+00
-7.581590e-02,3.837500e+00
5.276626e-02,3.894192e+00
-3.789373e-01,3.662199e+00
5.511646e-01,4.161805e+00
5.397555e-01,4.150523e+00
-2.821903e-01,3.711339e+00
2.222408e-02,3.884349e+00
2.439482e-01,4.009078e+00
5.361145e-02,3.893323e+00
5.539933e-01,4.159695e+00
-4.231365e-01,3.634358e+00
-1.386435e-01,3.789784e+00
-1.884433e-01,3.764137e+00
-7.331625e-02,3.820691e+00
3.575307e-01,4.813270e+00
4.390166e-02,3.888065e+00
-2.475819e-01,3.730308e+00
4.117031e-01,4.157869e+00
-2.621737e-01,3.725233e+00
1.583189e-01,3.953917e+00
-2.248135e-01,3.743716e+00
-2.196494e-02,3.889668e+00
5.299426e-02,3.899247e+00
1.860283e-01,3.967062e+00
4.226047e-01,4.086362e+00
2.706225e-01,4.434034e+00
-5.400174e-02,3.835666e+00
-2.285510e-02,3.849864e+00
