k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.002609e+01,1.154626e+02,1.154626e+00,1.203627e+01,8.791363e+01,8.791363e-01
2.232467e-03,1.754461e+01,2.195687e+01,2.195687e-01,9.570285e+00,1.530990e+01,1.530990e-01
4.464934e-03,1.593923e+01,1.705432e+01,1.705432e-01,8.404022e+00,1.030545e+01,1.030545e-01
6.697402e-03,1.309014e+01,1.403204e+01,1.403204e-01,7.012669e+00,8.400800e+00,8.400800e-02
8.929869e-03,1.153092e+01,1.221574e+01,1.221574e-01,6.275683e+00,7.426904e+00,7.426904e-02
1.116234e-02,9.769274e+00,1.042621e+01,1.042621e-01,5.375376e+00,6.233594e+00,6.233594e-02
1.339480e-02,8.632801e+00,9.117834e+00,9.117834e-02,4.772094e+00,5.517636e+00,5.517636e-02
1.562727e-02,7.412075e+00,7.828193e+00,7.828193e-02,4.124431e+00,4.768205e+00,4.768205e-02
1.785974e-02,6.909509e+00,7.134630e+00,7.134630e-02,3.821676e+00,4.248175e+00,4.248175e-02
2.009220e-02,5.791161e+00,6.266930e+00,6.266930e-02,3.226917e+00,3.724472e+00,3.724472e-02
2.232467e-02,5.154249e+00,5.431748e+00,5.431748e-02,2.847142e+00,3.246196e+00,3.246196e-02
2.455714e-02,4.528147e+00,4.787337e+00,4.787337e-02,2.511074e+00,2.807054e+00,2.807054e-02
2.678961e-02,4.013184e+00,4.143524e+00,4.143524e-02,2.211441e+00,2.425879e+00,2.425879e-02
2.902207e-02,3.485017e+00,3.665498e+00,3.665498e-02,1.933289e+00,2.155433e+00,2.155433e-02
3.125454e-02,3.178303e+00,3.338838e+00,3.338838e-02,1.740987e+00,1.912168e+00,1.912168e-02
3.348701e-02,2.825392e+00,2.934147e+00,2.934147e-02,1.550538e+00,1.699660e+00,1.699660e-02
3.571948e-02,2.530750e+00,2.616965e+00,2.616965e-02,1.377393e+00,1.510551e+00,1.510551e-02
3.795194e-02,2.268925e+00,2.326436e+00,2.326436e-02,1.217029e+00,1.293626e+00,1.293626e-02
4.018441e-02,2.052018e+00,2.109708e+00,2.109708e-02,1.093705e+00,1.185080e+00,1.185080e-02
4.241688e-02,1.827312e+00,1.912964e+00,1.912964e-02,9.792534e-01,1.067606e+00,1.067606e-02
4.464934e-02,1.663022e+00,1.773128e+00,1.773128e-02,8.785883e-01,9.664232e-01,9.664232e-03
4.688181e-02,1.442965e+00,1.539081e+00,1.539081e-02,7.538067e-01,8.339156e-01,8.339156e-03
4.911428e-02,1.304674e+00,1.368965e+00,1.368965e-02,6.775876e-01,7.347535e-01,7.347535e-03
5.134675e-02,1.177426e+00,1.224884e+00,1.224884e-02,6.058240e-01,6.553217e-01,6.553217e-03
5.357921e-02,1.065453e+00,1.128696e+00,1.128696e-02,5.495290e-01,6.049770e-01,6.049770e-03
5.581168e-02,9.792736e-01,1.030471e+00,1.030471e-02,5.052425e-01,5.543442e-01,5.543442e-03
5.804415e-02,8.744427e-01,9.203018e-01,9.203018e-03,4.500613e-01,4.929627e-01,4.929627e-03
6.027661e-02,7.783403e-01,8.052932e-01,8.052932e-03,3.973418e-01,4.202797e-01,4.202797e-03
6.250908e-02,7.054902e-01,7.368176e-01,7.368176e-03,3.565448e-01,3.812861e-01,3.812861e-03
6.474155e-02,6.273547e-01,6.539573e-01,6.539573e-03,3.179757e-01,3.440150e-01,3.440150e-03
6.697402e-02,5.772582e-01,6.099482e-01,6.099482e-03,2.910432e-01,3.123178e-01,3.123178e-03
6.920648e-02,5.152320e-01,5.226559e-01,5.226559e-03,2.602851e-01,2.739185e-01,2.739185e-03
7.143895e-02,4.608187e-01,4.753485e-01,4.753485e-03,2.328846e-01,2.451649e-01,2.451649e-03
7.367142e-02,4.233791e-01,4.475563e-01,4.475563e-03,2.099614e-01,2.265714e-01,2.265714e-03
