# n_pixels = 245220000
# n_pixels_in_grid = 239486835
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 2.180394e-02
# frac_tau_overflow = 1.575740e-03
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,1.434993e-01,8.479588e-05,2863850
-2.875000e+00,-2.916667e+00,-2.833333e+00,2.051396e-01,1.013852e-04,4094019
-2.791667e+00,-2.833333e+00,-2.750000e+00,2.717476e-01,1.166897e-04,5423331
-2.708333e+00,-2.750000e+00,-2.666667e+00,3.459684e-01,1.316643e-04,6904574
-2.625000e+00,-2.666667e+00,-2.583333e+00,4.178239e-01,1.446926e-04,8338611
-2.541667e+00,-2.583333e+00,-2.500000e+00,4.802826e-01,1.551309e-04,9585114
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.334754e-01,1.634960e-04,10646695
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.694526e-01,1.689190e-04,11364701
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.847638e-01,1.711749e-04,11670270
-2.208333e+00,-2.250000e+00,-2.166667e+00,5.831787e-01,1.709427e-04,11638636
-2.125000e+00,-2.166667e+00,-2.083333e+00,5.723237e-01,1.693443e-04,11421999
-2.041667e+00,-2.083333e+00,-2.000000e+00,5.512399e-01,1.661958e-04,11001225
-1.958333e+00,-2.000000e+00,-1.916667e+00,5.227855e-01,1.618496e-04,10433353
-1.875000e+00,-1.916667e+00,-1.833333e+00,4.917827e-01,1.569771e-04,9814623
-1.791667e+00,-1.833333e+00,-1.750000e+00,4.590085e-01,1.516562e-04,9160541
-1.708333e+00,-1.750000e+00,-1.666667e+00,4.286671e-01,1.465581e-04,8555010
-1.625000e+00,-1.666667e+00,-1.583333e+00,3.944447e-01,1.405863e-04,7872026
