# n_sightlines = 10000
# X = 8.339103e-03 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 8.339103e-03
# redshift = 0.000000
# n_absorbers = 490000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 2.246684
# beta_fit_err = 0.043085
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,8.459279e-12,4126,1.316948e-13,2.000000e-01,1.292447e+13
1.331141e+01,3.685501e-12,2849,6.904788e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.566315e-12,1919,3.575540e-14,2.000000e-01,3.246479e+13
1.371141e+01,6.375654e-13,1238,1.812026e-14,2.000000e-01,5.145323e+13
1.391141e+01,2.606024e-13,802,9.202192e-15,2.000000e-01,8.154787e+13
1.411141e+01,9.205565e-14,449,4.344375e-15,2.000000e-01,1.292447e+14
1.431141e+01,3.039989e-14,235,1.983070e-15,2.000000e-01,2.048390e+14
1.451141e+01,8.896734e-15,109,8.521526e-16,2.000000e-01,3.246479e+14
1.471141e+01,4.068471e-15,79,4.577387e-16,2.000000e-01,5.145323e+14
1.491141e+01,1.169787e-15,36,1.949644e-16,2.000000e-01,8.154787e+14
1.511141e+01,5.330617e-16,26,1.045420e-16,2.000000e-01,1.292447e+15
1.531141e+01,2.587225e-16,20,5.785210e-17,2.000000e-01,2.048390e+15
1.551141e+01,1.469185e-16,18,3.462903e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.081492e-16,21,2.360010e-17,2.000000e-01,5.145323e+15
1.591141e+01,3.249407e-17,10,1.027553e-17,2.000000e-01,8.154787e+15
1.611141e+01,1.435166e-17,7,5.424418e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.422973e-17,11,4.290426e-18,2.000000e-01,2.048390e+16
1.651141e+01,4.897285e-18,6,1.999308e-18,2.000000e-01,3.246479e+16
1.671141e+01,2.574982e-18,5,1.151567e-18,2.000000e-01,5.145323e+16
1.691141e+01,1.949644e-18,6,7.959389e-19,2.000000e-01,8.154787e+16
1.711141e+01,8.200949e-19,4,4.100475e-19,2.000000e-01,1.292447e+17
1.731141e+01,9.055286e-19,7,3.422576e-19,2.000000e-01,2.048390e+17
1.751141e+01,4.081071e-19,5,1.825110e-19,2.000000e-01,3.246479e+17
1.771141e+01,3.089978e-19,6,1.261478e-19,2.000000e-01,5.145323e+17
1.791141e+01,6.498814e-20,2,4.595356e-20,2.000000e-01,8.154787e+17
1.811141e+01,8.200949e-20,4,4.100475e-20,2.000000e-01,1.292447e+18
1.831141e+01,6.468061e-20,5,2.892605e-20,2.000000e-01,2.048390e+18
1.851141e+01,2.448642e-20,3,1.413724e-20,2.000000e-01,3.246479e+18
1.871141e+01,1.544989e-20,3,8.919998e-21,2.000000e-01,5.145323e+18
1.891141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+18
1.911141e+01,2.050237e-21,1,2.050237e-21,2.000000e-01,1.292447e+19
1.931141e+01,5.174449e-21,4,2.587225e-21,2.000000e-01,2.048390e+19
1.951141e+01,4.897285e-21,6,1.999308e-21,2.000000e-01,3.246479e+19
1.971141e+01,1.544989e-21,3,8.919998e-22,2.000000e-01,5.145323e+19
1.991141e+01,3.249407e-22,1,3.249407e-22,2.000000e-01,8.154787e+19
2.011141e+01,4.100475e-22,2,2.899473e-22,2.000000e-01,1.292447e+20
2.031141e+01,1.293612e-22,1,1.293612e-22,2.000000e-01,2.048390e+20
2.051141e+01,2.448642e-22,3,1.413724e-22,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
