N_HI,b_param_km_s
4.251849e+14,8.000000e+01
4.251849e+14,8.000000e+01
4.251849e+14,8.000000e+01
4.980891e+13,7.898800e+01
6.191104e+13,4.600428e+01
7.201037e+14,8.000000e+01
7.201037e+14,8.000000e+01
7.201037e+14,8.000000e+01
7.201037e+14,8.000000e+01
2.722207e+14,8.000000e+01
2.722207e+14,8.000000e+01
2.722207e+14,8.000000e+01
1.833731e+15,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
7.684674e+14,8.000000e+01
8.044812e+15,8.000000e+01
8.044812e+15,8.000000e+01
8.044812e+15,8.000000e+01
8.044812e+15,8.000000e+01
8.044812e+15,8.000000e+01
8.044812e+15,8.000000e+01
2.108910e+14,8.000000e+01
2.108910e+14,8.000000e+01
2.108910e+14,8.000000e+01
8.730008e+14,8.000000e+01
8.730008e+14,8.000000e+01
8.730008e+14,8.000000e+01
8.730008e+14,8.000000e+01
8.730008e+14,8.000000e+01
2.512391e+15,8.000000e+01
2.512391e+15,8.000000e+01
2.512391e+15,8.000000e+01
2.512391e+15,8.000000e+01
2.512391e+15,8.000000e+01
2.512391e+15,8.000000e+01
1.100494e+15,8.000000e+01
4.881178e+14,8.000000e+01
4.881178e+14,8.000000e+01
4.881178e+14,8.000000e+01
8.355088e+13,3.783642e+01
3.607404e+15,8.000000e+01
3.607404e+15,8.000000e+01
3.607404e+15,8.000000e+01
3.607404e+15,8.000000e+01
1.540502e+14,8.000000e+01
1.540502e+14,8.000000e+01
1.540502e+14,8.000000e+01
4.404961e+14,8.000000e+01
4.404961e+14,8.000000e+01
4.404961e+14,8.000000e+01
4.404961e+14,8.000000e+01
4.404961e+14,8.000000e+01
4.088022e+14,8.000000e+01
4.088022e+14,8.000000e+01
4.088022e+14,8.000000e+01
2.213121e+14,7.236966e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
2.007317e+15,8.000000e+01
4.743099e+14,8.000000e+01
4.743099e+14,8.000000e+01
4.743099e+14,8.000000e+01
4.743099e+14,8.000000e+01
8.140977e+14,8.000000e+01
8.140977e+14,8.000000e+01
8.140977e+14,8.000000e+01
6.632100e+13,7.904507e+01
6.632100e+13,7.917080e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
3.126390e+15,8.000000e+01
6.267467e+13,7.899674e+01
9.862686e+14,8.000000e+01
9.862686e+14,8.000000e+01
9.862686e+14,8.000000e+01
9.862686e+14,8.000000e+01
9.862686e+14,8.000000e+01
7.470616e+13,5.723510e+01
3.090997e+13,7.899602e+01
3.864311e+14,8.000000e+01
3.864311e+14,8.000000e+01
3.864311e+14,8.000000e+01
1.862990e+14,8.000000e+01
1.862990e+14,8.000000e+01
2.092755e+14,8.000000e+01
7.135639e+15,8.000000e+01
1.991327e+14,8.000000e+01
1.032246e+15,8.000000e+01
1.032246e+15,8.000000e+01
1.032246e+15,8.000000e+01
1.032246e+15,8.000000e+01
1.032246e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
2.920991e+15,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.039046e+16,8.000000e+01
1.671884e+15,8.000000e+01
1.671884e+15,8.000000e+01
1.671884e+15,8.000000e+01
1.671884e+15,8.000000e+01
1.671884e+15,8.000000e+01
5.404756e+13,5.831614e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
1.467992e+15,8.000000e+01
6.213699e+13,5.459255e+01
1.908585e+14,8.000000e+01
1.908585e+14,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.711120e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.415162e+15,8.000000e+01
1.562343e+15,8.000000e+01
1.562343e+15,8.000000e+01
1.562343e+15,8.000000e+01
1.562343e+15,8.000000e+01
1.562343e+15,8.000000e+01
1.562343e+15,8.000000e+01
5.697371e+15,8.000000e+01
5.697371e+15,8.000000e+01
5.697371e+15,8.000000e+01
5.697371e+15,8.000000e+01
5.697371e+15,8.000000e+01
5.697371e+15,8.000000e+01
1.669429e+15,8.000000e+01
1.669429e+15,8.000000e+01
3.969303e+14,8.000000e+01
3.969303e+14,8.000000e+01
3.969303e+14,8.000000e+01
3.969303e+14,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
1.830527e+15,8.000000e+01
5.924206e+13,7.907370e+01
5.924206e+13,6.303568e+01
4.169550e+14,7.795504e+01
7.603925e+14,8.000000e+01
7.603925e+14,8.000000e+01
7.603925e+14,8.000000e+01
1.660561e+14,8.000000e+01
1.407089e+15,8.000000e+01
1.407089e+15,8.000000e+01
1.981347e+15,8.000000e+01
1.981347e+15,8.000000e+01
1.981347e+15,8.000000e+01
2.678753e+14,8.000000e+01
2.678753e+14,8.000000e+01
4.247617e+14,8.000000e+01
4.247617e+14,8.000000e+01
4.247617e+14,8.000000e+01
4.247617e+14,8.000000e+01
1.386787e+14,5.483278e+01
6.625364e+13,7.945649e+01
6.625364e+13,7.945649e+01
7.936438e+14,8.000000e+01
7.936438e+14,8.000000e+01
7.936438e+14,8.000000e+01
7.936438e+14,8.000000e+01
7.936438e+14,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
2.070127e+15,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.207630e+16,8.000000e+01
1.333037e+14,7.969672e+01
7.739759e+13,8.000000e+01
1.296070e+14,8.000000e+01
1.296070e+14,8.000000e+01
2.831001e+14,8.000000e+01
2.831001e+14,8.000000e+01
2.408394e+14,7.657371e+01
4.890572e+14,8.000000e+01
4.890572e+14,8.000000e+01
4.890572e+14,8.000000e+01
1.004302e+14,8.000000e+01
1.004302e+14,8.000000e+01
1.055952e+14,8.000000e+01
1.402506e+15,8.000000e+01
1.402506e+15,8.000000e+01
2.592799e+14,8.000000e+01
2.592799e+14,8.000000e+01
2.592799e+14,8.000000e+01
2.592799e+14,8.000000e+01
7.711290e+14,8.000000e+01
7.711290e+14,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
1.205958e+15,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
7.605812e+14,8.000000e+01
2.187082e+14,8.000000e+01
2.187082e+14,8.000000e+01
2.187082e+14,8.000000e+01
5.197210e+13,6.227995e+01
6.932671e+14,8.000000e+01
6.932671e+14,8.000000e+01
3.452547e+14,8.000000e+01
3.452547e+14,8.000000e+01
3.452547e+14,8.000000e+01
3.452547e+14,8.000000e+01
1.485000e+14,8.000000e+01
1.485000e+14,8.000000e+01
7.849411e+13,5.399197e+01
1.116264e+14,8.000000e+01
1.116264e+14,8.000000e+01
1.353337e+14,8.000000e+01
1.353337e+14,8.000000e+01
1.588456e+14,4.552382e+01
9.556361e+13,8.000000e+01
6.376659e+13,7.014753e+01
2.917457e+14,8.000000e+01
2.917457e+14,8.000000e+01
2.917457e+14,8.000000e+01
2.917457e+14,8.000000e+01
6.253523e+14,8.000000e+01
6.253523e+14,8.000000e+01
6.253523e+14,8.000000e+01
2.249874e+15,8.000000e+01
6.054962e+14,8.000000e+01
6.054962e+14,8.000000e+01
4.007532e+13,7.899623e+01
5.294930e+14,7.705417e+01
5.739246e+14,8.000000e+01
5.739246e+14,8.000000e+01
2.126256e+15,8.000000e+01
2.126256e+15,8.000000e+01
2.126256e+15,8.000000e+01
2.126256e+15,8.000000e+01
2.126256e+15,8.000000e+01
3.312958e+13,7.898172e+01
1.646559e+14,8.000000e+01
1.646559e+14,8.000000e+01
1.646559e+14,8.000000e+01
1.646559e+14,8.000000e+01
2.979033e+13,3.195076e+01
1.008389e+14,8.000000e+01
1.138048e+15,8.000000e+01
1.138048e+15,8.000000e+01
1.138048e+15,8.000000e+01
1.138048e+15,8.000000e+01
1.138048e+15,8.000000e+01
1.223888e+14,8.000000e+01
1.223888e+14,8.000000e+01
