# n_sightlines = 10000
# X = 1.001030e-01 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 1.001030e-01
# redshift = 2.464686
# n_absorbers = 430000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.887576
# beta_fit_err = 0.021444
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,1.166670e-11,68308,4.463876e-14,2.000000e-01,1.292447e+13
1.331141e+01,6.342489e-12,58855,2.614376e-14,2.000000e-01,2.048390e+13
1.351141e+01,3.102471e-12,45628,1.452420e-14,2.000000e-01,3.246479e+13
1.371141e+01,1.420696e-12,33115,7.807082e-15,2.000000e-01,5.145323e+13
1.391141e+01,6.261390e-13,23131,4.116931e-15,2.000000e-01,8.154787e+13
1.411141e+01,2.674999e-13,15662,2.137470e-15,2.000000e-01,1.292447e+14
1.431141e+01,1.115256e-13,10349,1.096290e-15,2.000000e-01,2.048390e+14
1.451141e+01,4.504662e-14,6625,5.534384e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.825046e-14,4254,2.798176e-16,2.000000e-01,5.145323e+14
1.491141e+01,7.186888e-15,2655,1.394789e-16,2.000000e-01,8.154787e+14
1.511141e+01,2.891567e-15,1693,7.027564e-17,2.000000e-01,1.292447e+15
1.531141e+01,1.078724e-15,1001,3.409521e-17,2.000000e-01,2.048390e+15
1.551141e+01,4.372072e-16,643,1.724177e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.784718e-16,416,8.750302e-18,2.000000e-01,5.145323e+15
1.591141e+01,8.797509e-17,325,4.879980e-18,2.000000e-01,8.154787e+15
1.611141e+01,3.996614e-17,234,2.612668e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.799670e-17,167,1.392626e-18,2.000000e-01,2.048390e+16
1.651141e+01,9.043322e-18,133,7.841555e-19,2.000000e-01,3.246479e+16
1.671141e+01,4.118581e-18,96,4.203509e-19,2.000000e-01,5.145323e+16
1.691141e+01,2.490372e-18,92,2.596392e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.144330e-18,67,1.398021e-19,2.000000e-01,1.292447e+17
1.731141e+01,4.418351e-19,41,6.900305e-20,2.000000e-01,2.048390e+17
1.751141e+01,2.787791e-19,41,4.353798e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.372860e-19,32,2.426897e-20,2.000000e-01,5.145323e+17
1.791141e+01,8.120778e-20,30,1.482644e-20,2.000000e-01,8.154787e+17
1.811141e+01,3.928296e-20,23,8.191063e-21,2.000000e-01,1.292447e+18
1.831141e+01,2.909646e-20,27,5.599616e-21,2.000000e-01,2.048390e+18
1.851141e+01,8.839337e-21,13,2.451591e-21,2.000000e-01,3.246479e+18
1.871141e+01,3.861170e-21,9,1.287057e-21,2.000000e-01,5.145323e+18
1.891141e+01,3.789696e-21,14,1.012839e-21,2.000000e-01,8.154787e+18
1.911141e+01,2.903523e-21,17,7.042078e-22,2.000000e-01,1.292447e+19
1.931141e+01,1.185411e-21,11,3.574149e-22,2.000000e-01,2.048390e+19
1.951141e+01,8.159388e-22,12,2.355413e-22,2.000000e-01,3.246479e+19
1.971141e+01,5.577245e-22,13,1.546849e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.601774e-22,17,1.116094e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.391137e-22,14,6.390581e-23,2.000000e-01,1.292447e+20
2.031141e+01,6.465880e-23,6,2.639684e-23,2.000000e-01,2.048390e+20
2.051141e+01,6.799490e-24,1,6.799490e-24,2.000000e-01,3.246479e+20
2.071141e+01,2.145094e-23,5,9.593153e-24,2.000000e-01,5.145323e+20
2.091141e+01,8.120778e-24,3,4.688533e-24,2.000000e-01,8.154787e+20
2.111141e+01,3.415909e-24,2,2.415413e-24,2.000000e-01,1.292447e+21
2.131141e+01,3.232940e-24,3,1.866539e-24,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,2.706926e-25,1,2.706926e-25,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,0.000000e+00,0,,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
