statistic,value
mean_flux,0.22314183736538443
median_flux,0.1398772895336151
std_flux,0.23563778863958504
min_flux,2.9382650407717056e-39
max_flux,0.9795669317245483
mean_tau,3750.6231332172338
median_tau,1.9669897556304932
effective_tau,1.4999476677137606
deep_absorption_frac,0.453834061700819
moderate_absorption_frac,0.3777979120132077
weak_absorption_frac,0.16836802628597325
tau_eff_err,0.004868941052298632
tau_eff_std,0.48689410522986326
mean_flux_err,0.0005538450158333584
mean_flux_std,0.055384501583335834
n_sightlines,10000.0
tau_eff_obs_target,0.8160743077493965
mean_flux_target,0.44216405184357616
tau_scale_factor,0.36273223356377987
tau_eff_H_total,
hi_fraction_eff,
