N_HI,b_param_km_s
1.013026e+14,8.000000e+01
1.013026e+14,7.915073e+01
1.013026e+14,7.910700e+01
1.013026e+14,7.918456e+01
1.013026e+14,7.917312e+01
1.847795e+15,8.000000e+01
1.847795e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.082193e+15,8.000000e+01
4.305470e+14,8.000000e+01
1.324678e+16,8.000000e+01
7.171773e+14,8.000000e+01
7.171773e+14,8.000000e+01
7.171773e+14,8.000000e+01
7.171773e+14,8.000000e+01
7.171773e+14,8.000000e+01
7.171773e+14,8.000000e+01
3.189758e+13,7.899859e+01
2.282964e+13,3.299298e+01
3.649041e+14,8.000000e+01
3.649041e+14,8.000000e+01
5.039847e+14,8.000000e+01
5.039847e+14,8.000000e+01
5.039847e+14,8.000000e+01
5.039847e+14,8.000000e+01
5.039847e+14,8.000000e+01
1.006722e+15,8.000000e+01
2.177006e+14,7.429037e+01
2.177006e+14,7.429037e+01
1.666145e+14,8.000000e+01
1.666145e+14,8.000000e+01
1.117280e+14,8.000000e+01
1.117280e+14,5.000011e+00
1.117280e+14,8.000000e+01
9.921079e+13,8.000000e+01
9.921079e+13,7.899853e+01
5.191742e+14,8.000000e+01
5.191742e+14,8.000000e+01
5.191742e+14,8.000000e+01
5.191742e+14,8.000000e+01
5.191742e+14,8.000000e+01
1.579276e+15,8.000000e+01
1.579276e+15,8.000000e+01
1.579276e+15,8.000000e+01
1.579276e+15,8.000000e+01
1.579276e+15,8.000000e+01
4.569137e+15,8.000000e+01
4.569137e+15,8.000000e+01
4.569137e+15,8.000000e+01
4.569137e+15,8.000000e+01
4.569137e+15,8.000000e+01
4.569137e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
1.793796e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.391349e+15,8.000000e+01
2.953864e+14,8.000000e+01
2.953864e+14,8.000000e+01
2.953864e+14,8.000000e+01
2.578357e+14,8.000000e+01
2.578357e+14,8.000000e+01
2.578357e+14,8.000000e+01
9.324113e+14,8.000000e+01
9.324113e+14,8.000000e+01
9.324113e+14,8.000000e+01
9.324113e+14,8.000000e+01
9.324113e+14,8.000000e+01
9.324113e+14,8.000000e+01
4.474048e+14,6.378042e+01
1.321618e+14,8.000000e+01
1.321618e+14,8.000000e+01
7.472929e+14,8.000000e+01
7.472929e+14,8.000000e+01
7.472929e+14,8.000000e+01
7.472929e+14,8.000000e+01
7.472929e+14,8.000000e+01
7.472929e+14,8.000000e+01
6.278253e+13,6.774417e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
2.353440e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
1.528985e+16,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
5.217417e+15,8.000000e+01
1.975041e+15,8.000000e+01
1.975041e+15,8.000000e+01
1.975041e+15,8.000000e+01
1.975041e+15,8.000000e+01
1.975041e+15,8.000000e+01
1.975041e+15,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
6.415971e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
7.092404e+14,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
6.120332e+15,8.000000e+01
3.166342e+14,8.000000e+01
3.166342e+14,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.377969e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
7.891749e+15,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
3.320432e+16,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.530415e+15,8.000000e+01
1.986955e+15,8.000000e+01
4.146176e+13,7.899653e+01
2.559724e+14,8.000000e+01
2.559724e+14,8.000000e+01
2.559724e+14,8.000000e+01
2.559724e+14,8.000000e+01
2.559724e+14,8.000000e+01
5.128596e+13,7.909148e+01
5.128596e+13,7.889499e+01
5.128596e+13,6.116217e+01
1.149512e+17,8.000000e+01
1.149512e+17,8.000000e+01
1.149512e+17,8.000000e+01
1.149512e+17,8.000000e+01
1.149512e+17,8.000000e+01
1.778432e+14,8.000000e+01
1.778432e+14,8.000000e+01
1.778432e+14,8.000000e+01
9.007626e+14,8.000000e+01
9.007626e+14,8.000000e+01
9.007626e+14,8.000000e+01
9.007626e+14,8.000000e+01
2.873075e+13,7.899899e+01
2.873075e+13,7.899904e+01
5.410714e+15,8.000000e+01
5.410714e+15,8.000000e+01
5.410714e+15,8.000000e+01
5.410714e+15,8.000000e+01
5.410714e+15,8.000000e+01
1.391953e+15,8.000000e+01
1.391953e+15,8.000000e+01
6.984557e+13,7.999578e+01
6.984557e+13,4.999551e+00
6.940112e+13,8.000000e+01
5.082575e+14,8.000000e+01
5.082575e+14,8.000000e+01
5.082575e+14,8.000000e+01
5.082575e+14,8.000000e+01
5.082575e+14,8.000000e+01
5.317734e+14,8.000000e+01
5.317734e+14,8.000000e+01
3.766906e+13,7.899131e+01
5.519056e+13,7.899486e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
1.304549e+16,8.000000e+01
5.354455e+14,8.000000e+01
1.276540e+14,3.025303e+01
1.443408e+14,8.000000e+01
1.443408e+14,8.000000e+01
1.443408e+14,8.000000e+01
1.443408e+14,8.000000e+01
1.422048e+15,8.000000e+01
1.422048e+15,8.000000e+01
1.422048e+15,8.000000e+01
1.422048e+15,8.000000e+01
1.422048e+15,8.000000e+01
1.422048e+15,8.000000e+01
3.833077e+13,4.954693e+01
1.100706e+15,8.000000e+01
1.100706e+15,8.000000e+01
3.010692e+13,7.899707e+01
3.010692e+13,7.899875e+01
1.076396e+16,8.000000e+01
1.076396e+16,8.000000e+01
1.076396e+16,8.000000e+01
1.076396e+16,8.000000e+01
2.362366e+15,8.000000e+01
2.362366e+15,8.000000e+01
2.362366e+15,8.000000e+01
4.138119e+15,8.000000e+01
4.138119e+15,8.000000e+01
4.138119e+15,8.000000e+01
2.611673e+13,7.896445e+01
3.778415e+14,5.747444e+01
4.720488e+13,4.999992e+00
4.720488e+13,7.898922e+01
1.562831e+15,8.000000e+01
1.562831e+15,8.000000e+01
1.562831e+15,8.000000e+01
1.562831e+15,8.000000e+01
1.562831e+15,8.000000e+01
8.858089e+14,8.000000e+01
8.858089e+14,8.000000e+01
8.858089e+14,8.000000e+01
8.858089e+14,8.000000e+01
3.646468e+14,8.000000e+01
3.646468e+14,8.000000e+01
3.646468e+14,8.000000e+01
2.580511e+14,6.185860e+01
1.101426e+14,4.528289e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
1.019788e+17,8.000000e+01
8.250376e+14,8.000000e+01
8.250376e+14,8.000000e+01
2.758754e+14,8.000000e+01
2.758754e+14,8.000000e+01
6.681861e+13,6.323990e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
4.852040e+15,8.000000e+01
