# n_pixels = 247270000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
# computed from RESCALED optical depths
# tau_scale_factor = 0.3929555171787748
# mean_flux_target = 0.8806079298214535
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,8.808125e-01,4.220278e-04,4355970
3.000000e-02,2.000000e-02,4.000000e-02,1.464298e-01,1.720735e-04,724154
5.000000e-02,4.000000e-02,6.000000e-02,1.174975e-01,1.541394e-04,581072
7.000000e-02,6.000000e-02,8.000000e-02,1.086088e-01,1.481944e-04,537114
9.000000e-02,8.000000e-02,1.000000e-01,1.021290e-01,1.437057e-04,505069
1.100000e-01,1.000000e-01,1.200000e-01,9.902273e-02,1.415034e-04,489707
1.300000e-01,1.200000e-01,1.400000e-01,9.823998e-02,1.409430e-04,485836
1.500000e-01,1.400000e-01,1.600000e-01,9.717475e-02,1.401768e-04,480568
1.700000e-01,1.600000e-01,1.800000e-01,9.832956e-02,1.410072e-04,486279
1.900000e-01,1.800000e-01,2.000000e-01,9.907429e-02,1.415402e-04,489962
2.100000e-01,2.000000e-01,2.200000e-01,1.009920e-01,1.429035e-04,499446
2.300000e-01,2.200000e-01,2.400000e-01,1.034883e-01,1.446588e-04,511791
2.500000e-01,2.400000e-01,2.600000e-01,1.040520e-01,1.450523e-04,514579
2.700000e-01,2.600000e-01,2.800000e-01,1.076908e-01,1.475668e-04,532574
2.900000e-01,2.800000e-01,3.000000e-01,1.124825e-01,1.508140e-04,556271
3.100000e-01,3.000000e-01,3.200000e-01,1.154366e-01,1.527816e-04,570880
3.300000e-01,3.200000e-01,3.400000e-01,1.200898e-01,1.558304e-04,593892
3.500000e-01,3.400000e-01,3.600000e-01,1.243230e-01,1.585532e-04,614827
3.700000e-01,3.600000e-01,3.800000e-01,1.305488e-01,1.624747e-04,645616
3.900000e-01,3.800000e-01,4.000000e-01,1.354604e-01,1.655029e-04,669906
4.100000e-01,4.000000e-01,4.200000e-01,1.426400e-01,1.698322e-04,705412
4.300000e-01,4.200000e-01,4.400000e-01,1.468164e-01,1.723005e-04,726066
4.500000e-01,4.400000e-01,4.600000e-01,1.536298e-01,1.762532e-04,759761
4.700000e-01,4.600000e-01,4.800000e-01,1.606246e-01,1.802210e-04,794353
4.900000e-01,4.800000e-01,5.000000e-01,1.694735e-01,1.851186e-04,838114
5.100000e-01,5.000000e-01,5.200000e-01,1.792824e-01,1.904005e-04,886623
5.300000e-01,5.200000e-01,5.400000e-01,1.885900e-01,1.952804e-04,932653
5.500000e-01,5.400000e-01,5.600000e-01,1.989621e-01,2.005785e-04,983947
5.700000e-01,5.600000e-01,5.800000e-01,2.115796e-01,2.068408e-04,1046346
5.900000e-01,5.800000e-01,6.000000e-01,2.237607e-01,2.127116e-04,1106586
6.100000e-01,6.000000e-01,6.200000e-01,2.388949e-01,2.197874e-04,1181431
6.300000e-01,6.200000e-01,6.400000e-01,2.566822e-01,2.278228e-04,1269396
6.500000e-01,6.400000e-01,6.600000e-01,2.776687e-01,2.369533e-04,1373183
6.700000e-01,6.600000e-01,6.800000e-01,2.976085e-01,2.453138e-04,1471793
6.900000e-01,6.800000e-01,7.000000e-01,3.215441e-01,2.549879e-04,1590164
7.100000e-01,7.000000e-01,7.200000e-01,3.476999e-01,2.651561e-04,1719515
7.300000e-01,7.200000e-01,7.400000e-01,3.852346e-01,2.791013e-04,1905139
7.500000e-01,7.400000e-01,7.600000e-01,4.225339e-01,2.923008e-04,2089599
7.700000e-01,7.600000e-01,7.800000e-01,4.711388e-01,3.086553e-04,2329970
7.900000e-01,7.800000e-01,8.000000e-01,5.250297e-01,3.258301e-04,2596482
8.100000e-01,8.000000e-01,8.200000e-01,5.971163e-01,3.474792e-04,2952979
8.300000e-01,8.200000e-01,8.400000e-01,6.837975e-01,3.718459e-04,3381652
8.500000e-01,8.400000e-01,8.600000e-01,8.033332e-01,4.030391e-04,3972804
8.700000e-01,8.600000e-01,8.800000e-01,9.759528e-01,4.442359e-04,4826477
8.900000e-01,8.800000e-01,9.000000e-01,1.222552e+00,4.972021e-04,6046009
9.100000e-01,9.000000e-01,9.200000e-01,1.624963e+00,5.732195e-04,8036090
9.300000e-01,9.200000e-01,9.400000e-01,2.328731e+00,6.862131e-04,11516508
9.500000e-01,9.400000e-01,9.600000e-01,3.811375e+00,8.778901e-04,18848775
9.700000e-01,9.600000e-01,9.800000e-01,8.040934e+00,1.275124e-03,39765635
9.900000e-01,9.800000e-01,1.000000e+00,2.158997e+01,2.089418e-03,106771025
