k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,5.433646e+00,5.386403e+01,5.386403e-01
2.887885e-03,3.866429e+00,7.965443e+00,7.965443e-02
5.775771e-03,3.357035e+00,5.428481e+00,5.428481e-02
8.663656e-03,2.792057e+00,4.213447e+00,4.213447e-02
1.155154e-02,2.359327e+00,3.462382e+00,3.462382e-02
1.443943e-02,2.045853e+00,2.907404e+00,2.907404e-02
1.732731e-02,1.690253e+00,2.370773e+00,2.370773e-02
2.021520e-02,1.445117e+00,2.032838e+00,2.032838e-02
2.310308e-02,1.190391e+00,1.633720e+00,1.633720e-02
2.599097e-02,9.986811e-01,1.305947e+00,1.305947e-02
2.887885e-02,8.493372e-01,1.105739e+00,1.105739e-02
3.176674e-02,7.307068e-01,9.563935e-01,9.563935e-03
3.465462e-02,6.294581e-01,8.281020e-01,8.281020e-03
3.754251e-02,5.410752e-01,7.054772e-01,7.054772e-03
4.043039e-02,4.649542e-01,5.843627e-01,5.843627e-03
4.331828e-02,3.968391e-01,5.220256e-01,5.220256e-03
4.620616e-02,3.469277e-01,4.340610e-01,4.340610e-03
4.909405e-02,2.985932e-01,3.764146e-01,3.764146e-03
5.198193e-02,2.573767e-01,3.233776e-01,3.233776e-03
5.486982e-02,2.213543e-01,2.877503e-01,2.877503e-03
5.775771e-02,1.927887e-01,2.439658e-01,2.439658e-03
6.064559e-02,1.677214e-01,2.064714e-01,2.064714e-03
6.353348e-02,1.503402e-01,1.860712e-01,1.860712e-03
6.642136e-02,1.300708e-01,1.604628e-01,1.604628e-03
6.930925e-02,1.131407e-01,1.427585e-01,1.427585e-03
7.219713e-02,9.944283e-02,1.220621e-01,1.220621e-03
7.508502e-02,8.805957e-02,1.131694e-01,1.131694e-03
7.797290e-02,7.766827e-02,1.016747e-01,1.016747e-03
8.086079e-02,6.843234e-02,8.443045e-02,8.443045e-04
8.374867e-02,5.967346e-02,7.637000e-02,7.637000e-04
8.663656e-02,5.233313e-02,6.539928e-02,6.539928e-04
8.952444e-02,4.509386e-02,5.518786e-02,5.518786e-04
9.241233e-02,3.995909e-02,4.926220e-02,4.926220e-04
9.530021e-02,3.565885e-02,4.609957e-02,4.609957e-04
9.818810e-02,3.068061e-02,3.842770e-02,3.842770e-04
1.010760e-01,2.695367e-02,3.363487e-02,3.363487e-04
1.039639e-01,2.385166e-02,2.982558e-02,2.982558e-04
1.068518e-01,2.077105e-02,2.574783e-02,2.574783e-04
1.097396e-01,1.858151e-02,2.277995e-02,2.277995e-04
1.126275e-01,1.586648e-02,2.006138e-02,2.006138e-04
1.155154e-01,1.395476e-02,1.753627e-02,1.753627e-04
1.184033e-01,1.251739e-02,1.552962e-02,1.552962e-04
