# T0 = 1064.37322349687 K
# gamma = 1.3713170618563106
# gamma_err = nan
# n_pixels = 363289758
log_density,log_temperature
1.990707e-01,3.100325e+00
1.990707e-01,3.100325e+00
2.962281e-01,2.861593e+00
-1.725781e-01,2.635875e+00
3.381843e-01,2.885747e+00
-9.940058e-02,2.690160e+00
5.103669e-02,2.756199e+00
2.826284e-01,2.915672e+00
3.028515e-01,2.892626e+00
-9.044537e-02,2.645657e+00
7.008124e-01,3.612170e+00
-1.735678e-01,2.647533e+00
9.676541e-02,2.750578e+00
3.517872e-03,2.724468e+00
-2.739106e-01,2.625591e+00
5.682753e-01,3.300057e+00
4.430552e-01,2.976356e+00
-2.672246e-02,2.766820e+00
4.469948e-01,3.140704e+00
3.561803e-01,2.878362e+00
-1.476711e-02,2.814628e+00
1.043145e-01,2.760239e+00
-3.474382e-02,2.724148e+00
-8.227453e-03,2.705679e+00
-2.853097e-01,2.664485e+00
-1.705359e-01,2.746506e+00
-8.954343e-02,2.703749e+00
-6.931837e-02,2.670489e+00
2.442626e-02,2.724551e+00
9.403481e-02,3.047683e+00
-3.098945e-01,2.621772e+00
4.988460e-01,3.344464e+00
-2.027872e-01,2.612830e+00
-2.864387e-01,2.628136e+00
-1.443270e-01,2.669267e+00
6.799444e-01,3.800944e+00
-7.716577e-02,2.660158e+00
7.936644e-01,3.719558e+00
3.305851e-01,2.921617e+00
-3.527332e-01,2.609696e+00
3.958204e-01,2.953057e+00
-3.418633e-02,2.688647e+00
8.777831e-01,3.642026e+00
-2.057562e-01,2.628208e+00
8.275429e-01,3.541686e+00
1.064890e-01,2.745527e+00
-4.842546e-02,2.684667e+00
3.071619e-01,2.951593e+00
2.199378e-01,3.091568e+00
-1.268871e-01,2.662222e+00
3.019427e-01,2.885456e+00
1.913682e-01,2.872300e+00
-4.301280e-02,2.685620e+00
-4.988057e-02,2.691941e+00
-4.568736e-01,2.640816e+00
-1.809947e-01,2.654279e+00
-3.365477e-01,2.636304e+00
-1.822938e-01,2.648406e+00
-1.718610e-02,2.733796e+00
-1.453244e-01,2.655799e+00
-1.902274e-01,2.624383e+00
2.431157e-01,2.974646e+00
2.431157e-01,2.974646e+00
5.703976e-01,3.134208e+00
1.703755e-01,2.888274e+00
2.292204e-02,2.706493e+00
-2.544609e-02,2.810108e+00
9.616424e-02,2.793276e+00
-3.518833e-02,2.685942e+00
-1.818727e-01,2.669199e+00
-1.265307e-01,2.645612e+00
6.603176e-02,2.743982e+00
-6.316786e-02,2.691353e+00
6.764284e-02,2.735405e+00
1.705806e-01,2.834221e+00
8.891493e-02,2.773866e+00
-1.888637e-01,2.649801e+00
-2.764998e-02,2.685415e+00
-3.939894e-02,2.734757e+00
-5.874615e-02,2.740785e+00
4.510356e-02,2.767686e+00
-1.486902e-01,2.638078e+00
-1.712949e-01,2.653232e+00
