# n_pixels = 294050000
# n_pixels_in_grid = 288538887
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 0.000000e+00
# frac_tau_overflow = 1.874209e-02
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,0.000000e+00,0.000000e+00,0
-2.875000e+00,-2.916667e+00,-2.833333e+00,0.000000e+00,0.000000e+00,0
-2.791667e+00,-2.833333e+00,-2.750000e+00,0.000000e+00,0.000000e+00,0
-2.708333e+00,-2.750000e+00,-2.666667e+00,5.406550e-07,1.499507e-07,13
-2.625000e+00,-2.666667e+00,-2.583333e+00,3.493463e-06,3.811681e-07,84
-2.541667e+00,-2.583333e+00,-2.500000e+00,3.243930e-06,3.673028e-07,78
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.406550e-06,4.741858e-07,130
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.572906e-06,4.814257e-07,134
-2.291667e+00,-2.333333e+00,-2.250000e+00,1.226871e-05,7.143119e-07,295
-2.208333e+00,-2.250000e+00,-2.166667e+00,2.836359e-05,1.086098e-06,682
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.450007e-05,1.360407e-06,1070
-2.041667e+00,-2.083333e+00,-2.000000e+00,6.928702e-05,1.697518e-06,1666
-1.958333e+00,-2.000000e+00,-1.916667e+00,1.141198e-04,2.178557e-06,2744
-1.875000e+00,-1.916667e+00,-1.833333e+00,2.148480e-04,2.989194e-06,5166
-1.791667e+00,-1.833333e+00,-1.750000e+00,5.106279e-04,4.608300e-06,12278
-1.708333e+00,-1.750000e+00,-1.666667e+00,1.077609e-03,6.694513e-06,25911
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.356050e-03,9.898757e-06,56651
-1.541667e+00,-1.583333e+00,-1.500000e+00,5.266937e-03,1.480020e-05,126643
-1.458333e+00,-1.500000e+00,-1.416667e+00,1.145644e-02,2.182797e-05,275469
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.342475e-02,3.121231e-05,563246
-1.291667e+00,-1.333333e+00,-1.250000e+00,4.656104e-02,4.400477e-05,1119556
-1.208333e+00,-1.250000e+00,-1.166667e+00,8.502158e-02,5.946385e-05,2044336
-1.125000e+00,-1.166667e+00,-1.083333e+00,1.403584e-01,7.640252e-05,3374905
