statistic,value
mean_flux,0.3357332188412435
median_flux,0.3150155246257782
std_flux,0.2777968348598954
min_flux,2.9382650407717056e-39
max_flux,0.9865132570266724
mean_tau,1475.3144863704197
median_tau,1.1551333665847778
effective_tau,1.0914384259410863
deep_absorption_frac,0.3118135526897819
moderate_absorption_frac,0.35807794072612203
weak_absorption_frac,0.3301085065840961
tau_eff_err,0.0023848021314846826
tau_eff_std,0.23848021314846826
mean_flux_err,0.000639401930821564
mean_flux_std,0.0639401930821564
n_sightlines,10000.0
tau_eff_obs_target,0.5530075418021722
mean_flux_target,0.5752172164383526
tau_scale_factor,0.33896068195758483
tau_eff_H_total,inf
hi_fraction_eff,0.0
