# n_pixels = 293890000
# n_pixels_in_grid = 290540068
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 0.000000e+00
# frac_tau_overflow = 1.139859e-02
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,0.000000e+00,0.000000e+00,0
-2.875000e+00,-2.916667e+00,-2.833333e+00,0.000000e+00,0.000000e+00,0
-2.791667e+00,-2.833333e+00,-2.750000e+00,0.000000e+00,0.000000e+00,0
-2.708333e+00,-2.750000e+00,-2.666667e+00,0.000000e+00,0.000000e+00,0
-2.625000e+00,-2.666667e+00,-2.583333e+00,0.000000e+00,0.000000e+00,0
-2.541667e+00,-2.583333e+00,-2.500000e+00,0.000000e+00,0.000000e+00,0
-2.458333e+00,-2.500000e+00,-2.416667e+00,0.000000e+00,0.000000e+00,0
-2.375000e+00,-2.416667e+00,-2.333333e+00,0.000000e+00,0.000000e+00,0
-2.291667e+00,-2.333333e+00,-2.250000e+00,0.000000e+00,0.000000e+00,0
-2.208333e+00,-2.250000e+00,-2.166667e+00,0.000000e+00,0.000000e+00,0
-2.125000e+00,-2.166667e+00,-2.083333e+00,0.000000e+00,0.000000e+00,0
-2.041667e+00,-2.083333e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0
-1.958333e+00,-2.000000e+00,-1.916667e+00,0.000000e+00,0.000000e+00,0
-1.875000e+00,-1.916667e+00,-1.833333e+00,1.073862e-06,2.106017e-07,26
-1.791667e+00,-1.833333e+00,-1.750000e+00,4.295449e-06,4.212034e-07,104
-1.708333e+00,-1.750000e+00,-1.666667e+00,4.708473e-06,4.409889e-07,114
-1.625000e+00,-1.666667e+00,-1.583333e+00,9.871272e-06,6.385195e-07,239
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.849865e-05,1.084925e-06,690
-1.458333e+00,-1.500000e+00,-1.416667e+00,6.063191e-05,1.582480e-06,1468
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.361671e-04,3.123182e-06,5718
-1.291667e+00,-1.333333e+00,-1.250000e+00,8.318302e-04,5.861448e-06,20140
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.347752e-03,9.847222e-06,56843
-1.125000e+00,-1.166667e+00,-1.083333e+00,6.068065e-03,1.583116e-05,146918
