# n_pixels = 217570000
# n_pixels_in_grid = 211086937
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 2.871036e-02
# frac_tau_overflow = 1.087232e-03
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,1.999178e-01,1.066070e-04,3516670
-2.875000e+00,-2.916667e+00,-2.833333e+00,2.734043e-01,1.246702e-04,4809339
-2.791667e+00,-2.833333e+00,-2.750000e+00,3.508670e-01,1.412314e-04,6171954
-2.708333e+00,-2.750000e+00,-2.666667e+00,4.290103e-01,1.561686e-04,7546540
-2.625000e+00,-2.666667e+00,-2.583333e+00,5.029268e-01,1.690878e-04,8846773
-2.541667e+00,-2.583333e+00,-2.500000e+00,5.600191e-01,1.784273e-04,9851060
-2.458333e+00,-2.500000e+00,-2.416667e+00,6.004634e-01,1.847580e-04,10562499
-2.375000e+00,-2.416667e+00,-2.333333e+00,6.178173e-01,1.874088e-04,10867764
-2.291667e+00,-2.333333e+00,-2.250000e+00,6.184246e-01,1.875009e-04,10878446
-2.208333e+00,-2.250000e+00,-2.166667e+00,6.063241e-01,1.856574e-04,10665592
-2.125000e+00,-2.166667e+00,-2.083333e+00,5.861608e-01,1.825443e-04,10310908
-2.041667e+00,-2.083333e+00,-2.000000e+00,5.591786e-01,1.782934e-04,9836275
-1.958333e+00,-2.000000e+00,-1.916667e+00,5.262650e-01,1.729666e-04,9257305
-1.875000e+00,-1.916667e+00,-1.833333e+00,4.895013e-01,1.668157e-04,8610611
-1.791667e+00,-1.833333e+00,-1.750000e+00,4.499335e-01,1.599315e-04,7914591
-1.708333e+00,-1.750000e+00,-1.666667e+00,4.108372e-01,1.528251e-04,7226863
-1.625000e+00,-1.666667e+00,-1.583333e+00,3.745507e-01,1.459201e-04,6588563
-1.541667e+00,-1.583333e+00,-1.500000e+00,3.423237e-01,1.395013e-04,6021671
-1.458333e+00,-1.500000e+00,-1.416667e+00,3.125539e-01,1.332976e-04,5498003
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.861130e-01,1.275348e-04,5032893
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.621461e-01,1.220764e-04,4611301
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.411610e-01,1.170883e-04,4242162
-1.125000e+00,-1.166667e+00,-1.083333e+00,2.245276e-01,1.129783e-04,3949571
-1.041667e+00,-1.083333e+00,-1.000000e+00,2.099472e-01,1.092484e-04,3693093
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.948705e-01,1.052526e-04,3427885
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.825574e-01,1.018731e-04,3211290
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.711519e-01,9.863949e-05,3010661
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.600023e-01,9.537248e-05,2814533
-6.250000e-01,-6.666667e-01,-5.833333e-01,1.483619e-01,9.183774e-05,2609772
-5.416667e-01,-5.833333e-01,-5.000000e-01,1.375418e-01,8.842546e-05,2419440
-4.583333e-01,-5.000000e-01,-4.166667e-01,1.264313e-01,8.477878e-05,2223999
-3.750000e-01,-4.166667e-01,-3.333333e-01,1.150606e-01,8.087668e-05,2023983
-2.916667e-01,-3.333333e-01,-2.500000e-01,1.031555e-01,7.657838e-05,1814565
-2.083333e-01,-2.500000e-01,-1.666667e-01,9.210550e-02,7.236069e-05,1620189
-1.250000e-01,-1.666667e-01,-8.333333e-02,8.156406e-02,6.809408e-05,1434759
-4.166667e-02,-8.333333e-02,0.000000e+00,7.157167e-02,6.378676e-05,1258987
4.166667e-02,0.000000e+00,8.333333e-02,6.278827e-02,5.974468e-05,1104482
1.250000e-01,8.333333e-02,1.666667e-01,5.366259e-02,5.523264e-05,943956
2.083333e-01,1.666667e-01,2.500000e-01,4.593567e-02,5.110166e-05,808035
2.916667e-01,2.500000e-01,3.333333e-01,3.954827e-02,4.741587e-05,695677
3.750000e-01,3.333333e-01,4.166667e-01,3.388052e-02,4.388691e-05,595978
4.583333e-01,4.166667e-01,5.000000e-01,2.842232e-02,4.019663e-05,499965
5.416667e-01,5.000000e-01,5.833333e-01,2.330935e-02,3.640198e-05,410025
6.250000e-01,5.833333e-01,6.666667e-01,1.901274e-02,3.287625e-05,334445
7.083333e-01,6.666667e-01,7.500000e-01,1.499513e-02,2.919679e-05,263773
7.916667e-01,7.500000e-01,8.333333e-01,1.200819e-02,2.612755e-05,211231
8.750000e-01,8.333333e-01,9.166667e-01,9.897912e-03,2.372093e-05,174110
9.583333e-01,9.166667e-01,1.000000e+00,7.611632e-03,2.080170e-05,133893
1.041667e+00,1.000000e+00,1.083333e+00,5.880250e-03,1.828344e-05,103437
1.125000e+00,1.083333e+00,1.166667e+00,4.798421e-03,1.651616e-05,84407
1.208333e+00,1.166667e+00,1.250000e+00,3.890776e-03,1.487230e-05,68441
1.291667e+00,1.250000e+00,1.333333e+00,2.963689e-03,1.298005e-05,52133
1.375000e+00,1.333333e+00,1.416667e+00,2.501112e-03,1.192412e-05,43996
1.458333e+00,1.416667e+00,1.500000e+00,2.355750e-03,1.157243e-05,41439
1.541667e+00,1.500000e+00,1.583333e+00,1.793460e-03,1.009731e-05,31548
1.625000e+00,1.583333e+00,1.666667e+00,1.548784e-03,9.383294e-06,27244
1.708333e+00,1.666667e+00,1.750000e+00,1.377954e-03,8.850692e-06,24239
1.791667e+00,1.750000e+00,1.833333e+00,1.165226e-03,8.138887e-06,20497
1.875000e+00,1.833333e+00,1.916667e+00,1.050733e-03,7.728694e-06,18483
1.958333e+00,1.916667e+00,2.000000e+00,8.523313e-04,6.960880e-06,14993
