# T0 = 8043.33334633856 K
# gamma = 1.0903755611924493
# gamma_err = nan
# n_pixels = 337099314
log_density,log_temperature
1.876828e-01,3.873159e+00
1.876828e-01,3.873159e+00
1.094995e-01,3.828050e+00
-1.456731e-01,3.705996e+00
2.128119e-01,3.875407e+00
-6.983388e-02,3.742885e+00
-3.965960e-02,3.755081e+00
1.597487e-01,3.853241e+00
8.795616e-03,3.781512e+00
-4.266881e-03,3.772619e+00
5.250438e-01,4.089287e+00
4.501700e-01,3.986783e+00
-4.020884e-02,3.756300e+00
1.199486e-01,3.834288e+00
-1.635251e-01,3.697937e+00
-2.811891e-01,3.644413e+00
2.752050e-01,3.913579e+00
3.563914e-01,3.946166e+00
7.723576e-02,3.816048e+00
8.960753e-02,3.820870e+00
3.864121e-01,3.958449e+00
3.513726e-01,3.941083e+00
-1.448391e-02,3.768493e+00
-2.566568e-01,3.657039e+00
2.941256e-03,3.776641e+00
1.825183e-01,3.859799e+00
-2.895697e-01,3.642905e+00
4.940352e-01,4.017834e+00
-2.243040e-02,3.765696e+00
1.634823e-01,3.851654e+00
3.545864e-01,3.948073e+00
-7.158999e-02,3.743649e+00
3.683569e-02,3.793307e+00
-2.461978e-01,3.659509e+00
-2.710550e-01,3.649229e+00
2.394651e-01,3.892337e+00
3.263374e-01,3.926262e+00
-6.199888e-03,3.771575e+00
1.055107e+00,4.280297e+00
2.663351e-01,3.901414e+00
-2.367244e-01,3.664650e+00
3.376338e-01,3.946355e+00
-6.846175e-02,3.742325e+00
1.875451e-01,3.864046e+00
-1.174638e-01,3.720875e+00
1.573825e-01,3.852451e+00
7.147030e-02,3.806904e+00
-1.024437e-01,3.726321e+00
1.736472e-01,3.857758e+00
2.705392e-01,3.906153e+00
-8.774484e-02,3.735058e+00
1.971071e-01,3.869474e+00
2.055162e-02,3.787942e+00
3.577557e-02,3.790160e+00
3.772662e-01,3.954783e+00
-4.194171e-01,3.580198e+00
-1.774604e-01,3.692578e+00
-2.742634e-01,3.646257e+00
-1.203874e-01,3.718142e+00
-2.964760e-02,3.760053e+00
-6.938043e-02,3.742310e+00
-2.571255e-01,3.655993e+00
1.889386e-01,3.864600e+00
2.396561e-01,3.887473e+00
