# n_pixels = 308910000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.951410e+01,1.777229e-03,120562033
3.000000e-02,2.000000e-02,4.000000e-02,3.107315e+00,7.091885e-04,19197614
5.000000e-02,4.000000e-02,6.000000e-02,2.322448e+00,6.131151e-04,14348550
7.000000e-02,6.000000e-02,8.000000e-02,1.939249e+00,5.602550e-04,11981066
9.000000e-02,8.000000e-02,1.000000e-01,1.715091e+00,5.268811e-04,10596176
1.100000e-01,1.000000e-01,1.200000e-01,1.562487e+00,5.028948e-04,9653355
1.300000e-01,1.200000e-01,1.400000e-01,1.440792e+00,4.829139e-04,8901503
1.500000e-01,1.400000e-01,1.600000e-01,1.341328e+00,4.659470e-04,8286994
1.700000e-01,1.600000e-01,1.800000e-01,1.258421e+00,4.513173e-04,7774776
1.900000e-01,1.800000e-01,2.000000e-01,1.189928e+00,4.388635e-04,7351616
2.100000e-01,2.000000e-01,2.200000e-01,1.130651e+00,4.277926e-04,6985387
2.300000e-01,2.200000e-01,2.400000e-01,1.071257e+00,4.164049e-04,6618439
2.500000e-01,2.400000e-01,2.600000e-01,1.019770e+00,4.062750e-04,6300342
2.700000e-01,2.600000e-01,2.800000e-01,9.688579e-01,3.960035e-04,5985798
2.900000e-01,2.800000e-01,3.000000e-01,9.179891e-01,3.854675e-04,5671520
3.100000e-01,3.000000e-01,3.200000e-01,8.733105e-01,3.759701e-04,5395487
3.300000e-01,3.200000e-01,3.400000e-01,8.281661e-01,3.661236e-04,5116576
3.500000e-01,3.400000e-01,3.600000e-01,7.826598e-01,3.559226e-04,4835429
3.700000e-01,3.600000e-01,3.800000e-01,7.377479e-01,3.455596e-04,4557954
3.900000e-01,3.800000e-01,4.000000e-01,6.903828e-01,3.342828e-04,4265323
4.100000e-01,4.000000e-01,4.200000e-01,6.505513e-01,3.244963e-04,4019236
4.300000e-01,4.200000e-01,4.400000e-01,6.055811e-01,3.130799e-04,3741401
4.500000e-01,4.400000e-01,4.600000e-01,5.616911e-01,3.015212e-04,3470240
4.700000e-01,4.600000e-01,4.800000e-01,5.191434e-01,2.898763e-04,3207372
4.900000e-01,4.800000e-01,5.000000e-01,4.739790e-01,2.769801e-04,2928337
5.100000e-01,5.000000e-01,5.200000e-01,4.298716e-01,2.637779e-04,2655833
5.300000e-01,5.200000e-01,5.400000e-01,3.894780e-01,2.510791e-04,2406273
5.500000e-01,5.400000e-01,5.600000e-01,3.472223e-01,2.370679e-04,2145209
5.700000e-01,5.600000e-01,5.800000e-01,3.087241e-01,2.235395e-04,1907359
5.900000e-01,5.800000e-01,6.000000e-01,2.691638e-01,2.087264e-04,1662948
6.100000e-01,6.000000e-01,6.200000e-01,2.320448e-01,1.938005e-04,1433619
6.300000e-01,6.200000e-01,6.400000e-01,1.930174e-01,1.767532e-04,1192500
6.500000e-01,6.400000e-01,6.600000e-01,1.564923e-01,1.591533e-04,966841
6.700000e-01,6.600000e-01,6.800000e-01,1.262632e-01,1.429576e-04,780079
6.900000e-01,6.800000e-01,7.000000e-01,9.932521e-02,1.267940e-04,613651
7.100000e-01,7.000000e-01,7.200000e-01,7.505746e-02,1.102214e-04,463720
7.300000e-01,7.200000e-01,7.400000e-01,5.574035e-02,9.498474e-05,344375
7.500000e-01,7.400000e-01,7.600000e-01,3.850086e-02,7.894129e-05,237866
7.700000e-01,7.600000e-01,7.800000e-01,2.482131e-02,6.338425e-05,153351
7.900000e-01,7.800000e-01,8.000000e-01,1.478991e-02,4.892735e-05,91375
8.100000e-01,8.000000e-01,8.200000e-01,8.500210e-03,3.709231e-05,52516
8.300000e-01,8.200000e-01,8.400000e-01,4.528018e-03,2.707217e-05,27975
8.500000e-01,8.400000e-01,8.600000e-01,2.019358e-03,1.807905e-05,12476
8.700000e-01,8.600000e-01,8.800000e-01,9.980253e-04,1.270983e-05,6166
8.900000e-01,8.800000e-01,9.000000e-01,4.169499e-04,8.215064e-06,2576
9.100000e-01,9.000000e-01,9.200000e-01,1.043993e-04,4.110720e-06,645
9.300000e-01,9.200000e-01,9.400000e-01,1.990871e-05,1.795108e-06,123
9.500000e-01,9.400000e-01,9.600000e-01,0.000000e+00,0.000000e+00,0
9.700000e-01,9.600000e-01,9.800000e-01,0.000000e+00,0.000000e+00,0
9.900000e-01,9.800000e-01,1.000000e+00,0.000000e+00,0.000000e+00,0
