# T0 = 14450.134020787958 K
# gamma = 1.033026213092054
# gamma_err = 0.037141548292926
# T0_err = 2898.0113517882533 K
# n_bins_fit = 27
# n_pixels = 201640341
log_density,log_temperature
2.579516e-01,4.064166e+00
1.418709e+00,4.557819e+00
2.981741e-01,4.069272e+00
-4.859619e-02,3.925944e+00
1.443896e-01,4.006172e+00
1.455396e-01,4.004725e+00
-3.917741e-01,3.815625e+00
7.976558e-02,3.973016e+00
-6.225626e-02,3.934887e+00
-2.570288e-01,3.852434e+00
-3.854797e-02,3.932368e+00
-2.083338e-01,3.866813e+00
-6.105181e-02,3.913614e+00
8.332740e-01,4.344335e+00
1.758689e-01,4.001582e+00
-2.692340e-01,3.854499e+00
-5.525701e-02,3.929892e+00
3.185135e-02,3.965088e+00
-2.181992e-02,3.934425e+00
-6.671923e-02,3.916831e+00
-2.415632e-01,3.862592e+00
6.446439e-01,4.219280e+00
-1.324939e-01,3.897790e+00
-1.899752e-01,3.881231e+00
-2.330737e-01,3.857730e+00
-2.629823e-02,3.929834e+00
1.934116e-03,3.956006e+00
1.470937e-01,3.989676e+00
2.994583e-01,4.068785e+00
6.445402e-01,4.222945e+00
9.227725e-01,4.440423e+00
1.030190e-01,3.998518e+00
2.046418e-01,4.035243e+00
2.619431e-02,3.962647e+00
6.432507e-02,3.974501e+00
1.234676e-01,3.992058e+00
6.671844e-01,4.242850e+00
1.173285e-01,3.990542e+00
1.646938e-01,4.012639e+00
7.242631e-02,3.973434e+00
-1.462010e-02,3.936822e+00
2.529850e-01,4.038524e+00
-2.506118e-01,3.857571e+00
2.171761e-01,4.025029e+00
3.871646e-02,3.965317e+00
-1.331716e-01,3.897824e+00
1.034285e-01,3.988042e+00
-4.355681e-02,3.923758e+00
-2.209872e-02,3.936008e+00
3.754038e-01,4.107873e+00
1.301134e-03,3.956752e+00
-2.698804e-01,3.845648e+00
2.087777e-01,4.035832e+00
-6.314308e-02,3.919465e+00
3.505143e-01,4.082493e+00
-2.718516e-01,3.848155e+00
-2.323054e-01,3.862275e+00
9.969402e-02,3.984330e+00
-1.380924e-01,3.917443e+00
-3.369617e-01,3.830716e+00
1.334231e+00,5.433362e+00
-7.745434e-02,3.908621e+00
-1.144035e-01,3.902722e+00
3.552430e-02,3.953453e+00
-6.932038e-02,3.923466e+00
3.307837e-01,4.084970e+00
6.501105e-01,4.234522e+00
2.677419e-02,3.961811e+00
9.111614e-02,3.987884e+00
8.719698e-01,4.398196e+00
-9.414753e-02,3.906488e+00
-1.491921e-01,3.894546e+00
3.840210e-01,4.104475e+00
2.254804e-01,4.036427e+00
4.158605e-01,4.130844e+00
-4.285808e-02,3.926302e+00
-2.510902e-01,3.856616e+00
1.076515e-01,3.989445e+00
1.311444e-01,4.001376e+00
-7.184306e-02,3.909034e+00
2.182195e-01,4.038070e+00
8.610840e-02,3.981570e+00
2.864474e-01,4.058034e+00
1.367707e-02,3.955398e+00
1.438227e-01,4.059077e+00
-6.712148e-02,3.922700e+00
2.815374e-02,3.951712e+00
4.366071e-02,3.960771e+00
1.245058e-01,3.985877e+00
-1.121468e-01,3.915278e+00
-6.964785e-02,3.918273e+00
-9.666281e-02,3.917697e+00
2.291792e-02,3.948299e+00
-3.961022e-01,3.804939e+00
-1.022998e-01,3.906215e+00
3.018925e-01,4.083574e+00
-1.884961e-01,3.875735e+00
7.626289e-02,3.976585e+00
3.482163e-01,4.098415e+00
2.338319e-01,4.053374e+00
9.459078e-01,4.386822e+00
2.049529e-02,3.949988e+00
7.800917e-01,4.300924e+00
5.063869e-02,3.958245e+00
8.374208e-03,3.947867e+00
8.769516e-02,3.986857e+00
-2.514177e-01,3.853671e+00
-3.042864e-01,3.844531e+00
6.842556e-01,4.260099e+00
-1.428260e-01,3.893957e+00
9.269538e-03,3.952925e+00
-1.789858e-01,3.885522e+00
-1.096528e-01,3.904186e+00
2.547884e-01,4.035932e+00
4.937291e-01,4.159711e+00
-5.514507e-02,3.932541e+00
1.448879e-01,4.001717e+00
-2.765214e-01,3.845670e+00
1.335160e-01,4.005630e+00
9.647626e-02,4.060038e+00
-2.239646e-01,3.871648e+00
-1.480482e-04,3.951946e+00
2.907756e-01,4.074346e+00
1.042886e-01,3.993606e+00
3.051432e-01,4.091932e+00
-1.798533e-01,3.881401e+00
