# n_pixels = 247270000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
# computed from RESCALED optical depths
# tau_scale_factor = 0.2942041230855382
# mean_flux_target = 0.8806079298214535
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,6.751181e-01,3.694785e-04,3338729
3.000000e-02,2.000000e-02,4.000000e-02,1.399201e-01,1.682052e-04,691961
5.000000e-02,4.000000e-02,6.000000e-02,1.133106e-01,1.513681e-04,560366
7.000000e-02,6.000000e-02,8.000000e-02,1.035231e-01,1.446831e-04,511963
9.000000e-02,8.000000e-02,1.000000e-01,1.008851e-01,1.428278e-04,498917
1.100000e-01,1.000000e-01,1.200000e-01,9.844765e-02,1.410919e-04,486863
1.300000e-01,1.200000e-01,1.400000e-01,9.598900e-02,1.393189e-04,474704
1.500000e-01,1.400000e-01,1.600000e-01,9.660331e-02,1.397640e-04,477742
1.700000e-01,1.600000e-01,1.800000e-01,9.729021e-02,1.402600e-04,481139
1.900000e-01,1.800000e-01,2.000000e-01,9.911433e-02,1.415688e-04,490160
2.100000e-01,2.000000e-01,2.200000e-01,1.009249e-01,1.428560e-04,499114
2.300000e-01,2.200000e-01,2.400000e-01,1.024593e-01,1.439378e-04,506702
2.500000e-01,2.400000e-01,2.600000e-01,1.051692e-01,1.458289e-04,520104
2.700000e-01,2.600000e-01,2.800000e-01,1.079355e-01,1.477343e-04,533784
2.900000e-01,2.800000e-01,3.000000e-01,1.122332e-01,1.506468e-04,555038
3.100000e-01,3.000000e-01,3.200000e-01,1.161663e-01,1.532637e-04,574489
3.300000e-01,3.200000e-01,3.400000e-01,1.193792e-01,1.553687e-04,590378
3.500000e-01,3.400000e-01,3.600000e-01,1.248128e-01,1.588652e-04,617249
3.700000e-01,3.600000e-01,3.800000e-01,1.306109e-01,1.625133e-04,645923
3.900000e-01,3.800000e-01,4.000000e-01,1.357002e-01,1.656493e-04,671092
4.100000e-01,4.000000e-01,4.200000e-01,1.411926e-01,1.689683e-04,698254
4.300000e-01,4.200000e-01,4.400000e-01,1.479646e-01,1.729729e-04,731744
4.500000e-01,4.400000e-01,4.600000e-01,1.553522e-01,1.772385e-04,768279
4.700000e-01,4.600000e-01,4.800000e-01,1.639245e-01,1.820628e-04,810672
4.900000e-01,4.800000e-01,5.000000e-01,1.719835e-01,1.864845e-04,850527
5.100000e-01,5.000000e-01,5.200000e-01,1.809099e-01,1.912628e-04,894672
5.300000e-01,5.200000e-01,5.400000e-01,1.921790e-01,1.971298e-04,950402
5.500000e-01,5.400000e-01,5.600000e-01,2.036879e-01,2.029466e-04,1007318
5.700000e-01,5.600000e-01,5.800000e-01,2.164258e-01,2.091962e-04,1070312
5.900000e-01,5.800000e-01,6.000000e-01,2.297654e-01,2.155468e-04,1136282
6.100000e-01,6.000000e-01,6.200000e-01,2.446172e-01,2.224041e-04,1209730
6.300000e-01,6.200000e-01,6.400000e-01,2.618156e-01,2.300896e-04,1294783
6.500000e-01,6.400000e-01,6.600000e-01,2.812401e-01,2.384723e-04,1390845
6.700000e-01,6.600000e-01,6.800000e-01,3.046765e-01,2.482097e-04,1506747
6.900000e-01,6.800000e-01,7.000000e-01,3.318559e-01,2.590443e-04,1641160
7.100000e-01,7.000000e-01,7.200000e-01,3.600920e-01,2.698398e-04,1780799
7.300000e-01,7.200000e-01,7.400000e-01,3.948742e-01,2.825717e-04,1952811
7.500000e-01,7.400000e-01,7.600000e-01,4.394520e-01,2.980952e-04,2173266
7.700000e-01,7.600000e-01,7.800000e-01,4.937158e-01,3.159641e-04,2441622
7.900000e-01,7.800000e-01,8.000000e-01,5.546271e-01,3.348882e-04,2742853
8.100000e-01,8.000000e-01,8.200000e-01,6.342437e-01,3.581190e-04,3136589
8.300000e-01,8.200000e-01,8.400000e-01,7.421270e-01,3.873811e-04,3670115
8.500000e-01,8.400000e-01,8.600000e-01,8.839505e-01,4.227789e-04,4371489
8.700000e-01,8.600000e-01,8.800000e-01,1.085960e+00,4.686043e-04,5370508
8.900000e-01,8.800000e-01,9.000000e-01,1.385714e+00,5.293416e-04,6852909
9.100000e-01,9.000000e-01,9.200000e-01,1.880169e+00,6.165917e-04,9298186
9.300000e-01,9.200000e-01,9.400000e-01,2.748963e+00,7.455620e-04,13594723
9.500000e-01,9.400000e-01,9.600000e-01,4.546673e+00,9.588400e-04,22485115
9.700000e-01,9.600000e-01,9.800000e-01,9.415717e+00,1.379831e-03,46564488
9.900000e-01,9.800000e-01,1.000000e+00,1.843054e+01,1.930493e-03,91146383
