# n_pixels = 225710000
# n_pixels_in_grid = 206726284
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 5.493775e-07
# frac_tau_underflow = 8.325215e-02
# frac_tau_overflow = 8.539675e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,3.908993e-01,1.506348e-04,6734096
-2.875000e+00,-2.916667e+00,-2.833333e+00,4.674845e-01,1.647314e-04,8053444
-2.791667e+00,-2.833333e+00,-2.750000e+00,5.291487e-01,1.752595e-04,9115745
-2.708333e+00,-2.750000e+00,-2.666667e+00,5.816281e-01,1.837450e-04,10019818
-2.625000e+00,-2.666667e+00,-2.583333e+00,6.145696e-01,1.888767e-04,10587308
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.278418e-01,1.909053e-04,10815951
-2.458333e+00,-2.500000e+00,-2.416667e+00,6.294234e-01,1.911456e-04,10843196
-2.375000e+00,-2.416667e+00,-2.333333e+00,6.098487e-01,1.881498e-04,10505980
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.879439e-01,1.847399e-04,10128622
-2.208333e+00,-2.250000e+00,-2.166667e+00,5.629327e-01,1.807678e-04,9697749
-2.125000e+00,-2.166667e+00,-2.083333e+00,5.330093e-01,1.758977e-04,9182253
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.963146e-01,1.697350e-04,8550106
-1.958333e+00,-2.000000e+00,-1.916667e+00,4.624270e-01,1.638379e-04,7966318
-1.875000e+00,-1.916667e+00,-1.833333e+00,4.252579e-01,1.571155e-04,7325998
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.905931e-01,1.505758e-04,6728822
-1.708333e+00,-1.750000e+00,-1.666667e+00,3.576381e-01,1.440836e-04,6161100
-1.625000e+00,-1.666667e+00,-1.583333e+00,3.296695e-01,1.383350e-04,5679279
-1.541667e+00,-1.583333e+00,-1.500000e+00,3.030218e-01,1.326263e-04,5220215
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.795315e-01,1.273820e-04,4815543
