k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,2.419552e+00,3.661121e+01,3.661121e-01
2.783676e-03,1.320211e+00,5.505646e+00,5.505646e-02
5.567352e-03,1.034235e+00,2.495175e+00,2.495175e-02
8.351028e-03,8.859629e-01,1.948476e+00,1.948476e-02
1.113470e-02,7.612572e-01,1.589151e+00,1.589151e-02
1.391838e-02,6.653425e-01,1.317535e+00,1.317535e-02
1.670206e-02,5.754229e-01,1.110549e+00,1.110549e-02
1.948573e-02,4.864662e-01,9.010414e-01,9.010414e-03
2.226941e-02,4.179517e-01,7.537854e-01,7.537854e-03
2.505308e-02,3.572300e-01,6.283002e-01,6.283002e-03
2.783676e-02,3.054912e-01,5.229147e-01,5.229147e-03
3.062044e-02,2.679729e-01,4.687138e-01,4.687138e-03
3.340411e-02,2.341673e-01,3.992448e-01,3.992448e-03
3.618779e-02,2.024431e-01,3.351836e-01,3.351836e-03
3.897146e-02,1.715536e-01,2.760821e-01,2.760821e-03
4.175514e-02,1.506666e-01,2.500186e-01,2.500186e-03
4.453882e-02,1.323465e-01,2.107892e-01,2.107892e-03
4.732249e-02,1.155488e-01,1.866965e-01,1.866965e-03
5.010617e-02,1.018541e-01,1.610060e-01,1.610060e-03
5.288985e-02,8.728242e-02,1.345805e-01,1.345805e-03
5.567352e-02,7.642070e-02,1.165216e-01,1.165216e-03
5.845720e-02,6.762468e-02,1.022169e-01,1.022169e-03
6.124087e-02,6.148562e-02,9.550285e-02,9.550285e-04
6.402455e-02,5.353811e-02,8.241434e-02,8.241434e-04
6.680823e-02,4.588721e-02,6.838301e-02,6.838301e-04
6.959190e-02,4.094158e-02,6.082490e-02,6.082490e-04
7.237558e-02,3.625911e-02,5.410749e-02,5.410749e-04
7.515925e-02,3.221858e-02,4.839312e-02,4.839312e-04
7.794293e-02,2.876860e-02,4.278740e-02,4.278740e-04
8.072661e-02,2.506617e-02,3.748839e-02,3.748839e-04
8.351028e-02,2.197044e-02,3.174922e-02,3.174922e-04
8.629396e-02,2.022752e-02,2.929829e-02,2.929829e-04
8.907763e-02,1.748723e-02,2.598729e-02,2.598729e-04
9.186131e-02,1.562555e-02,2.273411e-02,2.273411e-04
9.464499e-02,1.353488e-02,1.967448e-02,1.967448e-04
9.742866e-02,1.213849e-02,1.756202e-02,1.756202e-04
1.002123e-01,1.096477e-02,1.602048e-02,1.602048e-04
1.029960e-01,9.662821e-03,1.428513e-02,1.428513e-04
1.057797e-01,8.651280e-03,1.236060e-02,1.236060e-04
1.085634e-01,7.686397e-03,1.116889e-02,1.116889e-04
1.113470e-01,6.741246e-03,9.540475e-03,9.540475e-05
1.141307e-01,6.207382e-03,9.135907e-03,9.135907e-05
1.169144e-01,5.426124e-03,7.695492e-03,7.695492e-05
1.196981e-01,4.819454e-03,7.040767e-03,7.040767e-05
1.224817e-01,4.319795e-03,6.319632e-03,6.319632e-05
1.252654e-01,3.812014e-03,5.552593e-03,5.552593e-05
1.280491e-01,3.374199e-03,4.881716e-03,4.881716e-05
1.308328e-01,2.998253e-03,4.428809e-03,4.428809e-05
1.336165e-01,2.724234e-03,3.934350e-03,3.934350e-05
1.364001e-01,2.393032e-03,3.532756e-03,3.532756e-05
1.391838e-01,2.137775e-03,3.214826e-03,3.214826e-05
1.419675e-01,1.949117e-03,2.843791e-03,2.843791e-05
1.447512e-01,1.752575e-03,2.556596e-03,2.556596e-05
1.475348e-01,1.532500e-03,2.300641e-03,2.300641e-05
1.503185e-01,1.364893e-03,2.000040e-03,2.000040e-05
1.531022e-01,1.231386e-03,1.760238e-03,1.760238e-05
1.558859e-01,1.082773e-03,1.595112e-03,1.595112e-05
1.586695e-01,9.670651e-04,1.399810e-03,1.399810e-05
1.614532e-01,8.590230e-04,1.273584e-03,1.273584e-05
1.642369e-01,7.775545e-04,1.232050e-03,1.232050e-05
1.670206e-01,6.964662e-04,1.107136e-03,1.107136e-05
1.698042e-01,6.230433e-04,9.791425e-04,9.791425e-06
1.725879e-01,5.511401e-04,8.971591e-04,8.971591e-06
1.753716e-01,5.032562e-04,8.463472e-04,8.463472e-06
