# n_pixels = 225710000
# n_pixels_in_grid = 177319407
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 1.838643e-06
# frac_tau_underflow = 2.138491e-01
# frac_tau_overflow = 5.417926e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,7.203779e-01,2.207967e-04,10644748
-2.875000e+00,-2.916667e+00,-2.833333e+00,7.457969e-01,2.246585e-04,11020355
-2.791667e+00,-2.833333e+00,-2.750000e+00,7.528615e-01,2.257200e-04,11124746
-2.708333e+00,-2.750000e+00,-2.666667e+00,7.397069e-01,2.237393e-04,10930366
-2.625000e+00,-2.666667e+00,-2.583333e+00,7.121016e-01,2.195247e-04,10522453
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.778975e-01,2.141877e-04,10017032
-2.458333e+00,-2.500000e+00,-2.416667e+00,6.397522e-01,2.080743e-04,9453374
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.972839e-01,2.010494e-04,8825835
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.554049e-01,1.938730e-04,8207005
-2.208333e+00,-2.250000e+00,-2.166667e+00,5.128564e-01,1.862989e-04,7578283
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.659101e-01,1.775675e-04,6884575
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.249683e-01,1.695863e-04,6279594
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.875373e-01,1.619456e-04,5726490
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.553317e-01,1.550706e-04,5250600
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.259752e-01,1.485268e-04,4816811
-1.708333e+00,-1.750000e+00,-1.666667e+00,2.997687e-01,1.424314e-04,4429567
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.783022e-01,1.372369e-04,4112365
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.582278e-01,1.321947e-04,3815733
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.389722e-01,1.271704e-04,3531201
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.230701e-01,1.228664e-04,3296221
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.076854e-01,1.185538e-04,3068887
-1.208333e+00,-1.250000e+00,-1.166667e+00,1.935518e-01,1.144488e-04,2860041
-1.125000e+00,-1.166667e+00,-1.083333e+00,1.806367e-01,1.105644e-04,2669199
-1.041667e+00,-1.083333e+00,-1.000000e+00,1.669772e-01,1.063019e-04,2467358
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.555096e-01,1.025867e-04,2297906
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.435416e-01,9.856015e-05,2121059
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.313569e-01,9.428421e-05,1941011
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.201233e-01,9.016253e-05,1775016
-6.250000e-01,-6.666667e-01,-5.833333e-01,1.082564e-01,8.559319e-05,1599663
-5.416667e-01,-5.833333e-01,-5.000000e-01,9.744037e-02,8.120485e-05,1439839
-4.583333e-01,-5.000000e-01,-4.166667e-01,8.683273e-02,7.665742e-05,1283094
-3.750000e-01,-4.166667e-01,-3.333333e-01,7.707522e-02,7.222206e-05,1138911
-2.916667e-01,-3.333333e-01,-2.500000e-01,6.784875e-02,6.776156e-05,1002575
-2.083333e-01,-2.500000e-01,-1.666667e-01,5.937712e-02,6.339019e-05,877393
-1.250000e-01,-1.666667e-01,-8.333333e-02,5.106155e-02,5.878405e-05,754517
-4.166667e-02,-8.333333e-02,0.000000e+00,4.404750e-02,5.459754e-05,650873
4.166667e-02,0.000000e+00,8.333333e-02,3.798305e-02,5.069994e-05,561261
1.250000e-01,8.333333e-02,1.666667e-01,3.146234e-02,4.614323e-05,464907
2.083333e-01,1.666667e-01,2.500000e-01,2.719980e-02,4.290376e-05,401921
2.916667e-01,2.500000e-01,3.333333e-01,2.102491e-02,3.772068e-05,310677
3.750000e-01,3.333333e-01,4.166667e-01,1.677488e-02,3.369320e-05,247876
4.583333e-01,4.166667e-01,5.000000e-01,1.379856e-02,3.055831e-05,203896
5.416667e-01,5.000000e-01,5.833333e-01,1.072417e-02,2.693980e-05,158467
6.250000e-01,5.833333e-01,6.666667e-01,7.691273e-03,2.281453e-05,113651
7.083333e-01,6.666667e-01,7.500000e-01,6.057408e-03,2.024678e-05,89508
7.916667e-01,7.500000e-01,8.333333e-01,4.713325e-03,1.785978e-05,69647
8.750000e-01,8.333333e-01,9.166667e-01,3.431841e-03,1.523969e-05,50711
9.583333e-01,9.166667e-01,1.000000e+00,2.799964e-03,1.376540e-05,41374
1.041667e+00,1.000000e+00,1.083333e+00,2.169373e-03,1.211657e-05,32056
1.125000e+00,1.083333e+00,1.166667e+00,1.834182e-03,1.114124e-05,27103
1.208333e+00,1.166667e+00,1.250000e+00,1.502035e-03,1.008214e-05,22195
1.291667e+00,1.250000e+00,1.333333e+00,1.334406e-03,9.502905e-06,19718
1.375000e+00,1.333333e+00,1.416667e+00,1.045571e-03,8.411805e-06,15450
1.458333e+00,1.416667e+00,1.500000e+00,8.365920e-04,7.524356e-06,12362
1.541667e+00,1.500000e+00,1.583333e+00,7.961227e-04,7.340109e-06,11764
1.625000e+00,1.583333e+00,1.666667e+00,8.234632e-04,7.465082e-06,12168
1.708333e+00,1.666667e+00,1.750000e+00,7.637743e-04,7.189439e-06,11286
1.791667e+00,1.750000e+00,1.833333e+00,6.897384e-04,6.832107e-06,10192
1.875000e+00,1.833333e+00,1.916667e+00,5.829480e-04,6.280980e-06,8614
1.958333e+00,1.916667e+00,2.000000e+00,5.351022e-04,6.017704e-06,7907
