statistic,value
mean_flux,0.4024922870192321
median_flux,0.4248819947242737
std_flux,0.3065350569671913
min_flux,2.9382650407717056e-39
max_flux,0.9939184188842773
mean_tau,2587.610713330031
median_tau,0.8559437990188599
effective_tau,0.9100793449922632
deep_absorption_frac,0.276371038938956
moderate_absorption_frac,0.28616076857677264
weak_absorption_frac,0.4374681924842714
tau_eff_err,0.0028626992968433847
tau_eff_std,0.28626992968433845
mean_flux_err,0.0008093415271816755
mean_flux_std,0.08093415271816755
n_sightlines,10000.0
tau_eff_obs_target,0.5554037618171708
mean_flux_target,0.5738405195244356
tau_scale_factor,0.43247543385069165
tau_eff_H_total,
hi_fraction_eff,
