# n_pixels = 278760000
# n_pixels_in_grid = 275822514
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 0.000000e+00
# frac_tau_overflow = 1.053769e-02
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,0.000000e+00,0.000000e+00,0
-2.875000e+00,-2.916667e+00,-2.833333e+00,0.000000e+00,0.000000e+00,0
-2.791667e+00,-2.833333e+00,-2.750000e+00,9.571372e-07,2.040623e-07,22
-2.708333e+00,-2.750000e+00,-2.666667e+00,2.001287e-06,2.950737e-07,46
-2.625000e+00,-2.666667e+00,-2.583333e+00,1.870768e-06,2.852895e-07,43
-2.541667e+00,-2.583333e+00,-2.500000e+00,4.742180e-06,4.542185e-07,109
-2.458333e+00,-2.500000e+00,-2.416667e+00,7.744110e-06,5.804456e-07,178
-2.375000e+00,-2.416667e+00,-2.333333e+00,9.440854e-06,6.408869e-07,217
-2.291667e+00,-2.333333e+00,-2.250000e+00,1.835963e-05,8.937329e-07,422
-2.208333e+00,-2.250000e+00,-2.166667e+00,3.711082e-05,1.270650e-06,853
-2.125000e+00,-2.166667e+00,-2.083333e+00,8.335795e-05,1.904361e-06,1916
-2.041667e+00,-2.083333e+00,-2.000000e+00,1.722412e-04,2.737438e-06,3959
-1.958333e+00,-2.000000e+00,-1.916667e+00,4.530740e-04,4.439768e-06,10414
-1.875000e+00,-1.916667e+00,-1.833333e+00,1.268163e-03,7.427854e-06,29149
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.154855e-03,1.171562e-05,72515
-1.708333e+00,-1.750000e+00,-1.666667e+00,7.787573e-03,1.840674e-05,178999
-1.625000e+00,-1.666667e+00,-1.583333e+00,1.808820e-02,2.805262e-05,415761
-1.541667e+00,-1.583333e+00,-1.500000e+00,3.718574e-02,4.022203e-05,854722
-1.458333e+00,-1.500000e+00,-1.416667e+00,7.021224e-02,5.526907e-05,1613843
-1.375000e+00,-1.416667e+00,-1.333333e+00,1.214092e-01,7.267775e-05,2790615
-1.291667e+00,-1.333333e+00,-1.250000e+00,1.893072e-01,9.075265e-05,4351265
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.750551e-01,1.093920e-04,6322199
-1.125000e+00,-1.166667e+00,-1.083333e+00,3.737006e-01,1.275081e-04,8589586
