# n_pixels = 217570000
# n_pixels_in_grid = 179545860
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 0.000000e+00
# frac_tau_underflow = 1.738381e-01
# frac_tau_overflow = 9.292412e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,5.661332e-01,1.945191e-04,8470573
-2.875000e+00,-2.916667e+00,-2.833333e+00,6.020405e-01,2.005930e-04,9007824
-2.791667e+00,-2.833333e+00,-2.750000e+00,6.281885e-01,2.049028e-04,9399054
-2.708333e+00,-2.750000e+00,-2.666667e+00,6.317649e-01,2.054853e-04,9452564
-2.625000e+00,-2.666667e+00,-2.583333e+00,6.254455e-01,2.044550e-04,9358012
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.072944e-01,2.014664e-04,9086433
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.845601e-01,1.976594e-04,8746279
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.568648e-01,1.929202e-04,8331897
-2.291667e+00,-2.333333e+00,-2.250000e+00,5.204968e-01,1.865142e-04,7787754
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.815791e-01,1.794059e-04,7205461
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.503618e-01,1.734937e-04,6738383
-2.041667e+00,-2.083333e+00,-2.000000e+00,4.165520e-01,1.668544e-04,6232516
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.850606e-01,1.604233e-04,5761336
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.610983e-01,1.553516e-04,5402809
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.367362e-01,1.500195e-04,5038299
-1.708333e+00,-1.750000e+00,-1.666667e+00,3.141989e-01,1.449123e-04,4701093
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.953815e-01,1.405059e-04,4419544
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.797735e-01,1.367433e-04,4186014
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.668581e-01,1.335498e-04,3992772
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.528573e-01,1.299992e-04,3783290
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.413672e-01,1.270112e-04,3611374
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.314199e-01,1.243665e-04,3462540
-1.125000e+00,-1.166667e+00,-1.083333e+00,2.220830e-01,1.218318e-04,3322840
-1.041667e+00,-1.083333e+00,-1.000000e+00,2.087098e-01,1.181067e-04,3122749
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.972347e-01,1.148139e-04,2951056
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.840014e-01,1.108954e-04,2753057
