# n_sightlines = 10000
# X = 5.642227e-02 (absorption distance, dimensionless)
# dX_comoving_mpc = 37.252272
# X_absorption = 5.642227e-02
# redshift = 1.601151
# n_absorbers = 470000
# absorber_mode = 2
# cell_dv = 50.0
# colden_mode = 1
# norm_mode = 1
# log_N_min = 13.0
# log_N_max = 22.8
# n_bins = 49
# fit_log_N_min = 13.5
# fit_log_N_max = 15.0
# min_N_gate = 0.0
# dx_mode = 1
# beta_fit = 1.847374
# beta_fit_err = 0.026452
# beta_fit_n_bins = 8
# f_N_HI units: [cm^2]  (f(N) = dn/dN dX)
#
log10_N_HI,f_N_HI,counts,f_N_HI_err,delta_log_N,bin_center
1.311141e+01,6.661009e-12,21982,4.492690e-14,2.000000e-01,1.292447e+13
1.331141e+01,3.211284e-12,16796,2.477854e-14,2.000000e-01,2.048390e+13
1.351141e+01,1.553053e-12,12874,1.368767e-14,2.000000e-01,3.246479e+13
1.371141e+01,7.386244e-13,9704,7.498048e-15,2.000000e-01,5.145323e+13
1.391141e+01,3.317129e-13,6907,3.991329e-15,2.000000e-01,8.154787e+13
1.411141e+01,1.480864e-13,4887,2.118332e-15,2.000000e-01,1.292447e+14
1.431141e+01,6.188930e-14,3237,1.087788e-15,2.000000e-01,2.048390e+14
1.451141e+01,2.563491e-14,2125,5.560993e-16,2.000000e-01,3.246479e+14
1.471141e+01,1.023753e-14,1345,2.791477e-16,2.000000e-01,5.145323e+14
1.491141e+01,4.125400e-15,859,1.407568e-16,2.000000e-01,8.154787e+14
1.511141e+01,1.584800e-15,523,6.929848e-17,2.000000e-01,1.292447e+15
1.531141e+01,7.666854e-16,401,3.828644e-17,2.000000e-01,2.048390e+15
1.551141e+01,2.810792e-16,233,1.841411e-17,2.000000e-01,3.246479e+15
1.571141e+01,1.377690e-16,181,1.024029e-17,2.000000e-01,5.145323e+15
1.591141e+01,6.723585e-17,140,5.682466e-18,2.000000e-01,8.154787e+15
1.611141e+01,3.030211e-17,100,3.030211e-18,2.000000e-01,1.292447e+16
1.631141e+01,1.472189e-17,77,1.677715e-18,2.000000e-01,2.048390e+16
1.651141e+01,9.288885e-18,77,1.058567e-18,2.000000e-01,3.246479e+16
1.671141e+01,3.958004e-18,52,5.488764e-19,2.000000e-01,5.145323e+16
1.691141e+01,1.969050e-18,41,3.075139e-19,2.000000e-01,8.154787e+16
1.711141e+01,1.181782e-18,39,1.892366e-19,2.000000e-01,1.292447e+17
1.731141e+01,5.544608e-19,29,1.029608e-19,2.000000e-01,2.048390e+17
1.751141e+01,2.653967e-19,22,5.658277e-20,2.000000e-01,3.246479e+17
1.771141e+01,1.979002e-19,26,3.881142e-20,2.000000e-01,5.145323e+17
1.791141e+01,1.104589e-19,23,2.303227e-20,2.000000e-01,8.154787e+17
1.811141e+01,3.030211e-20,10,9.582368e-21,2.000000e-01,1.292447e+18
1.831141e+01,1.720740e-20,9,5.735801e-21,2.000000e-01,2.048390e+18
1.851141e+01,1.326984e-20,11,4.001006e-21,2.000000e-01,3.246479e+18
1.871141e+01,9.895009e-21,13,2.744382e-21,2.000000e-01,5.145323e+18
1.891141e+01,4.322304e-21,9,1.440768e-21,2.000000e-01,8.154787e+18
1.911141e+01,3.636253e-21,12,1.049696e-21,2.000000e-01,1.292447e+19
1.931141e+01,1.147160e-21,6,4.683262e-22,2.000000e-01,2.048390e+19
1.951141e+01,9.650789e-22,8,3.412069e-22,2.000000e-01,3.246479e+19
1.971141e+01,8.372700e-22,11,2.524464e-22,2.000000e-01,5.145323e+19
1.991141e+01,4.322304e-22,9,1.440768e-22,2.000000e-01,8.154787e+19
2.011141e+01,2.424169e-22,8,8.570731e-23,2.000000e-01,1.292447e+20
2.031141e+01,7.647735e-23,4,3.823868e-23,2.000000e-01,2.048390e+20
2.051141e+01,6.031743e-23,5,2.697478e-23,2.000000e-01,3.246479e+20
2.071141e+01,2.283464e-23,3,1.318358e-23,2.000000e-01,5.145323e+20
2.091141e+01,3.361792e-23,7,1.270638e-23,2.000000e-01,8.154787e+20
2.111141e+01,2.424169e-23,8,8.570731e-24,2.000000e-01,1.292447e+21
2.131141e+01,1.911934e-24,1,1.911934e-24,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,,2.000000e-01,8.154787e+21
2.211141e+01,0.000000e+00,0,,2.000000e-01,1.292447e+22
2.231141e+01,1.911934e-25,1,1.911934e-25,2.000000e-01,2.048390e+22
2.251141e+01,0.000000e+00,0,,2.000000e-01,3.246479e+22
2.271141e+01,0.000000e+00,0,,2.000000e-01,5.145323e+22
