# n_pixels = 235020000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.315289e+00,5.289848e-04,6182384
3.000000e-02,2.000000e-02,4.000000e-02,2.413195e-01,2.265838e-04,1134298
5.000000e-02,4.000000e-02,6.000000e-02,1.891884e-01,2.006226e-04,889261
7.000000e-02,6.000000e-02,8.000000e-02,1.675904e-01,1.888240e-04,787742
9.000000e-02,8.000000e-02,1.000000e-01,1.568554e-01,1.826763e-04,737283
1.100000e-01,1.000000e-01,1.200000e-01,1.481902e-01,1.775588e-04,696553
1.300000e-01,1.200000e-01,1.400000e-01,1.435795e-01,1.747748e-04,674881
1.500000e-01,1.400000e-01,1.600000e-01,1.397894e-01,1.724526e-04,657066
1.700000e-01,1.600000e-01,1.800000e-01,1.376230e-01,1.711110e-04,646883
1.900000e-01,1.800000e-01,2.000000e-01,1.386684e-01,1.717597e-04,651797
2.100000e-01,2.000000e-01,2.200000e-01,1.384948e-01,1.716522e-04,650981
2.300000e-01,2.200000e-01,2.400000e-01,1.409499e-01,1.731669e-04,662521
2.500000e-01,2.400000e-01,2.600000e-01,1.423677e-01,1.740357e-04,669185
2.700000e-01,2.600000e-01,2.800000e-01,1.446296e-01,1.754128e-04,679817
2.900000e-01,2.800000e-01,3.000000e-01,1.468705e-01,1.767665e-04,690350
3.100000e-01,3.000000e-01,3.200000e-01,1.502064e-01,1.787626e-04,706030
3.300000e-01,3.200000e-01,3.400000e-01,1.532497e-01,1.805645e-04,720335
3.500000e-01,3.400000e-01,3.600000e-01,1.570217e-01,1.827732e-04,738065
3.700000e-01,3.600000e-01,3.800000e-01,1.615575e-01,1.853942e-04,759385
3.900000e-01,3.800000e-01,4.000000e-01,1.667950e-01,1.883753e-04,784003
4.100000e-01,4.000000e-01,4.200000e-01,1.717554e-01,1.911559e-04,807319
4.300000e-01,4.200000e-01,4.400000e-01,1.760578e-01,1.935353e-04,827542
4.500000e-01,4.400000e-01,4.600000e-01,1.844262e-01,1.980815e-04,866877
4.700000e-01,4.600000e-01,4.800000e-01,1.925438e-01,2.023939e-04,905033
4.900000e-01,4.800000e-01,5.000000e-01,1.980487e-01,2.052667e-04,930908
5.100000e-01,5.000000e-01,5.200000e-01,2.063054e-01,2.095019e-04,969718
5.300000e-01,5.200000e-01,5.400000e-01,2.156768e-01,2.142073e-04,1013767
5.500000e-01,5.400000e-01,5.600000e-01,2.269328e-01,2.197259e-04,1066675
5.700000e-01,5.600000e-01,5.800000e-01,2.377664e-01,2.249095e-04,1117597
5.900000e-01,5.800000e-01,6.000000e-01,2.507959e-01,2.309898e-04,1178841
6.100000e-01,6.000000e-01,6.200000e-01,2.655372e-01,2.376814e-04,1248131
6.300000e-01,6.200000e-01,6.400000e-01,2.808748e-01,2.444494e-04,1320224
6.500000e-01,6.400000e-01,6.600000e-01,2.986282e-01,2.520566e-04,1403672
6.700000e-01,6.600000e-01,6.800000e-01,3.184991e-01,2.603075e-04,1497073
6.900000e-01,6.800000e-01,7.000000e-01,3.420864e-01,2.697743e-04,1607943
7.100000e-01,7.000000e-01,7.200000e-01,3.691377e-01,2.802379e-04,1735095
7.300000e-01,7.200000e-01,7.400000e-01,3.983691e-01,2.911223e-04,1872494
7.500000e-01,7.400000e-01,7.600000e-01,4.375136e-01,3.050903e-04,2056489
7.700000e-01,7.600000e-01,7.800000e-01,4.839056e-01,3.208580e-04,2274550
7.900000e-01,7.800000e-01,8.000000e-01,5.375713e-01,3.381821e-04,2526800
8.100000e-01,8.000000e-01,8.200000e-01,6.022532e-01,3.579498e-04,2830831
8.300000e-01,8.200000e-01,8.400000e-01,6.926693e-01,3.838801e-04,3255823
8.500000e-01,8.400000e-01,8.600000e-01,8.121905e-01,4.156823e-04,3817620
8.700000e-01,8.600000e-01,8.800000e-01,9.743430e-01,4.552904e-04,4579802
8.900000e-01,8.800000e-01,9.000000e-01,1.216996e+00,5.088353e-04,5720370
9.100000e-01,9.000000e-01,9.200000e-01,1.609738e+00,5.852079e-04,7566413
9.300000e-01,9.200000e-01,9.400000e-01,2.294441e+00,6.986683e-04,10784789
9.500000e-01,9.400000e-01,9.600000e-01,3.716432e+00,8.891923e-04,17468719
9.700000e-01,9.600000e-01,9.800000e-01,7.776266e+00,1.286229e-03,36551562
9.900000e-01,9.800000e-01,1.000000e+00,2.023200e+01,2.074684e-03,95098503
