N_HI,b_param_km_s
8.878999e+14,8.000000e+01
1.155922e+14,6.083940e+01
2.459617e+13,7.898517e+01
1.089164e+13,7.899656e+01
1.930817e+13,7.899111e+01
5.363471e+13,3.519436e+01
1.351928e+13,7.898626e+01
2.909074e+13,2.846779e+01
1.090322e+13,7.899678e+01
5.080090e+13,4.462357e+01
2.297883e+13,7.898301e+01
3.937169e+15,8.000000e+01
3.937169e+15,8.000000e+01
2.440636e+13,7.896050e+01
1.075024e+13,7.899600e+01
4.159741e+13,4.612503e+01
4.590735e+13,4.888773e+01
3.054070e+13,7.895644e+01
3.035437e+14,8.000000e+01
3.035437e+14,8.000000e+01
1.337478e+13,7.899752e+01
1.580544e+13,4.999515e+00
9.519477e+12,7.899747e+01
1.799748e+13,7.899361e+01
5.829492e+13,7.894778e+01
3.343271e+14,8.000000e+01
3.343271e+14,8.000000e+01
1.902086e+14,8.000000e+01
1.902086e+14,8.000000e+01
4.950430e+13,4.864749e+01
3.170148e+13,3.645559e+01
7.010870e+13,4.077981e+01
6.000745e+13,3.969876e+01
4.144292e+13,3.159084e+01
1.392626e+14,8.000000e+01
2.157634e+13,7.900189e+01
3.928315e+14,8.000000e+01
1.696097e+14,5.291166e+01
3.465074e+13,3.585500e+01
3.586082e+13,3.579495e+01
1.950524e+13,7.894392e+01
1.503985e+13,7.897488e+01
1.120004e+13,7.906570e+01
1.611938e+13,7.899460e+01
7.313492e+13,7.453276e+01
4.275961e+14,8.000000e+01
4.275961e+14,8.000000e+01
1.326795e+14,5.014896e+01
2.981006e+14,8.000000e+01
2.981006e+14,8.000000e+01
2.981006e+14,8.000000e+01
2.981006e+14,8.000000e+01
3.597520e+13,3.459377e+01
1.084926e+14,7.693511e+01
1.785999e+13,3.697972e+01
2.230561e+13,7.894422e+01
1.499323e+14,8.000000e+01
1.499323e+14,8.000000e+01
2.648005e+14,6.336186e+01
1.460258e+13,7.898516e+01
1.856653e+13,7.898973e+01
2.878379e+13,7.899217e+01
6.004967e+13,4.180081e+01
2.503489e+14,8.000000e+01
4.713702e+13,3.699612e+01
1.590887e+13,7.896881e+01
6.159413e+15,8.000000e+01
1.797376e+13,7.899220e+01
5.195938e+16,8.000000e+01
5.195938e+16,8.000000e+01
2.261000e+13,7.890533e+01
2.032934e+17,8.000000e+01
2.032934e+17,8.000000e+01
7.693790e+14,7.207036e+01
1.572046e+13,7.892876e+01
2.341537e+13,7.922556e+01
2.187663e+13,2.546486e+01
6.196401e+13,3.465383e+01
7.417650e+13,4.930814e+01
2.502900e+13,3.105031e+01
1.445227e+15,8.000000e+01
3.775625e+13,3.165090e+01
9.790316e+13,6.017875e+01
4.102189e+13,4.828714e+01
1.505328e+14,5.783646e+01
2.593869e+13,7.899612e+01
5.874048e+13,3.500000e+01
4.628003e+13,3.795706e+01
1.324985e+13,7.896901e+01
1.582168e+13,7.899734e+01
3.056826e+13,7.899783e+01
3.408281e+14,8.000000e+01
3.408281e+14,8.000000e+01
1.909171e+13,7.899566e+01
1.347274e+13,7.899440e+01
2.111034e+13,7.892219e+01
1.857831e+13,7.898025e+01
5.737105e+13,3.969876e+01
2.114204e+14,5.393265e+01
3.657064e+14,8.000000e+01
3.657064e+14,8.000000e+01
