k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.122869e+01,8.745388e+01,8.745388e-01
2.843466e-03,7.216936e+00,1.187107e+01,1.187107e-01
5.686932e-03,6.394650e+00,8.771659e+00,8.771659e-02
8.530398e-03,5.219391e+00,7.078230e+00,7.078230e-02
1.137386e-02,4.255885e+00,5.517173e+00,5.517173e-02
1.421733e-02,3.538286e+00,4.596646e+00,4.596646e-02
1.706080e-02,3.049294e+00,3.889229e+00,3.889229e-02
1.990426e-02,2.617902e+00,3.184891e+00,3.184891e-02
2.274773e-02,2.202042e+00,2.708637e+00,2.708637e-02
2.559119e-02,1.850722e+00,2.259788e+00,2.259788e-02
2.843466e-02,1.571335e+00,1.882363e+00,1.882363e-02
3.127813e-02,1.358471e+00,1.602004e+00,1.602004e-02
3.412159e-02,1.158902e+00,1.391727e+00,1.391727e-02
3.696506e-02,1.006612e+00,1.193157e+00,1.193157e-02
3.980852e-02,8.529998e-01,1.012903e+00,1.012903e-02
4.265199e-02,7.503312e-01,8.737858e-01,8.737858e-03
4.549546e-02,6.512904e-01,7.633466e-01,7.633466e-03
4.833892e-02,5.765475e-01,6.725241e-01,6.725241e-03
5.118239e-02,4.972031e-01,5.801721e-01,5.801721e-03
5.402585e-02,4.342729e-01,5.016844e-01,5.016844e-03
5.686932e-02,3.793415e-01,4.419186e-01,4.419186e-03
5.971278e-02,3.412757e-01,3.976968e-01,3.976968e-03
6.255625e-02,2.948580e-01,3.384500e-01,3.384500e-03
6.539972e-02,2.609760e-01,3.066950e-01,3.066950e-03
6.824318e-02,2.300717e-01,2.641088e-01,2.641088e-03
7.108665e-02,2.022432e-01,2.360924e-01,2.360924e-03
7.393011e-02,1.759132e-01,2.010384e-01,2.010384e-03
7.677358e-02,1.578439e-01,1.820381e-01,1.820381e-03
7.961705e-02,1.411344e-01,1.623244e-01,1.623244e-03
8.246051e-02,1.223820e-01,1.424180e-01,1.424180e-03
8.530398e-02,1.072398e-01,1.240767e-01,1.240767e-03
8.814744e-02,9.465719e-02,1.107036e-01,1.107036e-03
9.099091e-02,8.507944e-02,9.880722e-02,9.880722e-04
9.383438e-02,7.368449e-02,8.319535e-02,8.319535e-04
9.667784e-02,6.377927e-02,7.396138e-02,7.396138e-04
9.952131e-02,5.754759e-02,6.804175e-02,6.804175e-04
1.023648e-01,5.096560e-02,5.915220e-02,5.915220e-04
1.052082e-01,4.455250e-02,5.117833e-02,5.117833e-04
1.080517e-01,4.034787e-02,4.684915e-02,4.684915e-04
1.108952e-01,3.503943e-02,4.047596e-02,4.047596e-04
1.137386e-01,3.161186e-02,3.634109e-02,3.634109e-04
1.165821e-01,2.771013e-02,3.228328e-02,3.228328e-04
1.194256e-01,2.453185e-02,2.962741e-02,2.962741e-04
1.222690e-01,2.165628e-02,2.551114e-02,2.551114e-04
1.251125e-01,1.919215e-02,2.270401e-02,2.270401e-04
1.279560e-01,1.689312e-02,1.971099e-02,1.971099e-04
1.307994e-01,1.525804e-02,1.827312e-02,1.827312e-04
1.336429e-01,1.336467e-02,1.607633e-02,1.607633e-04
1.364864e-01,1.164193e-02,1.400127e-02,1.400127e-04
1.393298e-01,1.061064e-02,1.265460e-02,1.265460e-04
1.421733e-01,9.314516e-03,1.111430e-02,1.111430e-04
1.450168e-01,8.406879e-03,1.015151e-02,1.015151e-04
1.478602e-01,7.411527e-03,9.007624e-03,9.007624e-05
1.507037e-01,6.427503e-03,7.759929e-03,7.759929e-05
1.535472e-01,5.731424e-03,6.928580e-03,6.928580e-05
1.563906e-01,5.060614e-03,6.174809e-03,6.174809e-05
1.592341e-01,4.462875e-03,5.455221e-03,5.455221e-05
1.620776e-01,4.094628e-03,5.105740e-03,5.105740e-05
1.649210e-01,3.583996e-03,4.487990e-03,4.487990e-05
1.677645e-01,3.199282e-03,3.966974e-03,3.966974e-05
1.706080e-01,2.837729e-03,3.489314e-03,3.489314e-05
1.734514e-01,2.534903e-03,3.266500e-03,3.266500e-05
1.762949e-01,2.247043e-03,2.946197e-03,2.946197e-05
1.791384e-01,1.994246e-03,2.565708e-03,2.565708e-05
1.819818e-01,1.746949e-03,2.408543e-03,2.408543e-05
1.848253e-01,1.572729e-03,2.054208e-03,2.054208e-05
1.876688e-01,1.389863e-03,1.849845e-03,1.849845e-05
1.905122e-01,1.251261e-03,1.755748e-03,1.755748e-05
1.933557e-01,1.110760e-03,1.491858e-03,1.491858e-05
1.961992e-01,9.798994e-04,1.411100e-03,1.411100e-05
1.990426e-01,8.764402e-04,1.273894e-03,1.273894e-05
2.018861e-01,7.831944e-04,1.179568e-03,1.179568e-05
2.047295e-01,7.073877e-04,1.110778e-03,1.110778e-05
2.075730e-01,6.219785e-04,9.856422e-04,9.856422e-06
2.104165e-01,5.508714e-04,8.772739e-04,8.772739e-06
2.132599e-01,5.024801e-04,8.303265e-04,8.303265e-06
2.161034e-01,4.469831e-04,7.324393e-04,7.324393e-06
2.189469e-01,4.015618e-04,7.031336e-04,7.031336e-06
2.217903e-01,3.480056e-04,6.269162e-04,6.269162e-06
2.246338e-01,3.179702e-04,6.182426e-04,6.182426e-06
2.274773e-01,2.815659e-04,5.643669e-04,5.643669e-06
2.303207e-01,2.556072e-04,5.244453e-04,5.244453e-06
2.331642e-01,2.282316e-04,5.127858e-04,5.127858e-06
2.360077e-01,2.035239e-04,4.466429e-04,4.466429e-06
2.388511e-01,1.820311e-04,4.536169e-04,4.536169e-06
2.416946e-01,1.632299e-04,4.213820e-04,4.213820e-06
2.445381e-01,1.500889e-04,3.922749e-04,3.922749e-06
2.473815e-01,1.370024e-04,3.767099e-04,3.767099e-06
2.502250e-01,1.213789e-04,3.350419e-04,3.350419e-06
2.530685e-01,1.088628e-04,3.414568e-04,3.414568e-06
2.559119e-01,1.005938e-04,3.206871e-04,3.206871e-06
2.587554e-01,8.927782e-05,3.109502e-04,3.109502e-06
2.615989e-01,8.093557e-05,3.059803e-04,3.059803e-06
2.644423e-01,7.378912e-05,2.839255e-04,2.839255e-06
2.672858e-01,6.713083e-05,2.853959e-04,2.853959e-06
2.701293e-01,6.090834e-05,2.653432e-04,2.653432e-06
2.729727e-01,5.613139e-05,2.550454e-04,2.550454e-06
2.758162e-01,5.049971e-05,2.601859e-04,2.601859e-06
2.786597e-01,4.612774e-05,2.376968e-04,2.376968e-06
2.815031e-01,4.233012e-05,2.466622e-04,2.466622e-06
2.843466e-01,3.884047e-05,2.284502e-04,2.284502e-06
2.871901e-01,3.538981e-05,2.246649e-04,2.246649e-06
2.900335e-01,3.236895e-05,2.182399e-04,2.182399e-06
2.928770e-01,2.922364e-05,1.998816e-04,1.998816e-06
2.957205e-01,2.671644e-05,2.105004e-04,2.105004e-06
2.985639e-01,2.517913e-05,1.948875e-04,1.948875e-06
3.014074e-01,2.325276e-05,1.992478e-04,1.992478e-06
3.042509e-01,2.092874e-05,1.911525e-04,1.911525e-06
3.070943e-01,1.934996e-05,1.815000e-04,1.815000e-06
3.099378e-01,1.784699e-05,1.846617e-04,1.846617e-06
3.127813e-01,1.627896e-05,1.698673e-04,1.698673e-06
3.156247e-01,1.510295e-05,1.724527e-04,1.724527e-06
3.184682e-01,1.380437e-05,1.668118e-04,1.668118e-06
3.213117e-01,1.280741e-05,1.614693e-04,1.614693e-06
3.241551e-01,1.219207e-05,1.630576e-04,1.630576e-06
3.269986e-01,1.127206e-05,1.550674e-04,1.550674e-06
3.298420e-01,1.065448e-05,1.543425e-04,1.543425e-06
3.326855e-01,9.788504e-06,1.489382e-04,1.489382e-06
3.355290e-01,9.357059e-06,1.447553e-04,1.447553e-06
3.383724e-01,8.900034e-06,1.447899e-04,1.447899e-06
3.412159e-01,8.297751e-06,1.401875e-04,1.401875e-06
3.440594e-01,7.850332e-06,1.371502e-04,1.371502e-06
3.469028e-01,7.342991e-06,1.340804e-04,1.340804e-06
3.497463e-01,7.019164e-06,1.306617e-04,1.306617e-06
3.525898e-01,6.590892e-06,1.279819e-04,1.279819e-06
3.554332e-01,6.205571e-06,1.246331e-04,1.246331e-06
3.582767e-01,5.779681e-06,1.212692e-04,1.212692e-06
3.611202e-01,5.408264e-06,1.198558e-04,1.198558e-06
3.639636e-01,5.138225e-06,1.161170e-04,1.161170e-06
3.668071e-01,4.843226e-06,1.137008e-04,1.137008e-06
3.696506e-01,4.568331e-06,1.101320e-04,1.101320e-06
3.724940e-01,4.377752e-06,1.077433e-04,1.077433e-06
3.753375e-01,4.196064e-06,1.065591e-04,1.065591e-06
3.781810e-01,4.060984e-06,1.033581e-04,1.033581e-06
3.810244e-01,3.871428e-06,1.025460e-04,1.025460e-06
3.838679e-01,3.704145e-06,9.858741e-05,9.858741e-07
3.867114e-01,3.531767e-06,9.697223e-05,9.697223e-07
3.895548e-01,3.448240e-06,9.465962e-05,9.465962e-07
3.923983e-01,3.299323e-06,9.144850e-05,9.144850e-07
3.952418e-01,3.184573e-06,9.027831e-05,9.027831e-07
3.980852e-01,3.056752e-06,8.744021e-05,8.744021e-07
4.009287e-01,2.948719e-06,8.639539e-05,8.639539e-07
4.037722e-01,2.886333e-06,8.428240e-05,8.428240e-07
4.066156e-01,2.758743e-06,8.251642e-05,8.251642e-07
4.094591e-01,2.643515e-06,8.142151e-05,8.142151e-07
4.123026e-01,2.506745e-06,7.886067e-05,7.886067e-07
4.151460e-01,2.449025e-06,7.776954e-05,7.776954e-07
4.179895e-01,2.364411e-06,7.574448e-05,7.574448e-07
4.208330e-01,2.309553e-06,7.434613e-05,7.434613e-07
4.236764e-01,2.223104e-06,7.299244e-05,7.299244e-07
4.265199e-01,2.161163e-06,7.086753e-05,7.086753e-07
4.293634e-01,2.108791e-06,6.987820e-05,6.987820e-07
4.322068e-01,2.056565e-06,6.834868e-05,6.834868e-07
4.350503e-01,1.983166e-06,6.715594e-05,6.715594e-07
4.378938e-01,1.908028e-06,6.595467e-05,6.595467e-07
4.407372e-01,1.839928e-06,6.457465e-05,6.457465e-07
4.435807e-01,1.806040e-06,6.355198e-05,6.355198e-07
4.464242e-01,1.765265e-06,6.222805e-05,6.222805e-07
4.492676e-01,1.698954e-06,6.102886e-05,6.102886e-07
4.521111e-01,1.643472e-06,5.982409e-05,5.982409e-07
4.549546e-01,1.601710e-06,5.866870e-05,5.866870e-07
4.577980e-01,1.574148e-06,5.767179e-05,5.767179e-07
4.606415e-01,1.537717e-06,5.652364e-05,5.652364e-07
4.634849e-01,1.485074e-06,5.548763e-05,5.548763e-07
4.663284e-01,1.433139e-06,5.439161e-05,5.439161e-07
4.691719e-01,1.404024e-06,5.343056e-05,5.343056e-07
4.720153e-01,1.373706e-06,5.235309e-05,5.235309e-07
4.748588e-01,1.345095e-06,5.138494e-05,5.138494e-07
4.777023e-01,1.304875e-06,5.030329e-05,5.030329e-07
4.805457e-01,1.269115e-06,4.930027e-05,4.930027e-07
4.833892e-01,1.233934e-06,4.826071e-05,4.826071e-07
4.862327e-01,1.204751e-06,4.732470e-05,4.732470e-07
4.890761e-01,1.162842e-06,4.625022e-05,4.625022e-07
4.919196e-01,1.121129e-06,4.520202e-05,4.520202e-07
4.947631e-01,1.085415e-06,4.420113e-05,4.420113e-07
4.976065e-01,1.054662e-06,4.316111e-05,4.316111e-07
5.004500e-01,1.025691e-06,4.214363e-05,4.214363e-07
5.032935e-01,9.894125e-07,4.110756e-05,4.110756e-07
5.061369e-01,9.533871e-07,4.004480e-05,4.004480e-07
5.089804e-01,9.279939e-07,3.902885e-05,3.902885e-07
5.118239e-01,9.046981e-07,3.797609e-05,3.797609e-07
5.146673e-01,8.776908e-07,3.692537e-05,3.692537e-07
5.175108e-01,8.468741e-07,3.585873e-05,3.585873e-07
5.203543e-01,8.165026e-07,3.481524e-05,3.481524e-07
5.231977e-01,7.908110e-07,3.376736e-05,3.376736e-07
5.260412e-01,7.679732e-07,3.272860e-05,3.272860e-07
5.288847e-01,7.407968e-07,3.167063e-05,3.167063e-07
5.317281e-01,7.106766e-07,3.059842e-05,3.059842e-07
5.345716e-01,6.824812e-07,2.957011e-05,2.957011e-07
5.374151e-01,6.562748e-07,2.850658e-05,2.850658e-07
5.402585e-01,6.321000e-07,2.748719e-05,2.748719e-07
5.431020e-01,6.052862e-07,2.646222e-05,2.646222e-07
5.459455e-01,5.780417e-07,2.541548e-05,2.541548e-07
5.487889e-01,5.545504e-07,2.440750e-05,2.440750e-07
5.516324e-01,5.361546e-07,2.340595e-05,2.340595e-07
5.544759e-01,5.154586e-07,2.239565e-05,2.239565e-07
5.573193e-01,4.930963e-07,2.141145e-05,2.141145e-07
5.601628e-01,4.702517e-07,2.043677e-05,2.043677e-07
5.630063e-01,4.503168e-07,1.947830e-05,1.947830e-07
5.658497e-01,4.324027e-07,1.853093e-05,1.853093e-07
5.686932e-01,4.117910e-07,1.759371e-05,1.759371e-07
5.715367e-01,3.887968e-07,1.667435e-05,1.667435e-07
5.743801e-01,3.668619e-07,1.577791e-05,1.577791e-07
5.772236e-01,3.478793e-07,1.490239e-05,1.490239e-07
5.800671e-01,3.303535e-07,1.404430e-05,1.404430e-07
5.829105e-01,3.122054e-07,1.321256e-05,1.321256e-07
5.857540e-01,2.928520e-07,1.239686e-05,1.239686e-07
5.885975e-01,2.746698e-07,1.160574e-05,1.160574e-07
5.914409e-01,2.596588e-07,1.084149e-05,1.084149e-07
