# T0 = 24292.125512297327 K
# gamma = 1.0705014951781373
# gamma_err = 0.07320243383958266
# T0_err = 10822.296769732584 K
# n_bins_fit = 30
# n_pixels = 20955366
log_density,log_temperature
-9.784588e-01,3.463453e+00
9.814038e-01,5.392138e+00
4.861206e-01,4.272533e+00
-7.610315e-01,3.447629e+00
-4.419639e-01,4.076059e+00
-4.731381e-01,3.596076e+00
-2.250310e-01,4.869567e+00
9.674843e-01,6.337598e+00
2.147301e-01,4.212732e+00
7.944578e-01,4.668351e+00
3.858152e-02,3.967512e+00
-6.487930e-01,3.494855e+00
-4.205567e-01,3.564103e+00
-7.344799e-01,4.084972e+00
4.190176e-01,4.574383e+00
-5.655061e-01,3.534970e+00
2.291022e-02,4.009055e+00
4.069510e-01,4.230354e+00
1.722930e-02,4.638703e+00
-5.438182e-01,4.105619e+00
-1.074922e+00,3.473350e+00
6.371321e-01,6.260538e+00
-6.114318e-01,3.486094e+00
-8.279919e-01,3.592234e+00
-6.091368e-01,5.819153e+00
1.352257e+00,5.501245e+00
-8.570766e-01,4.114768e+00
-1.011110e+00,4.332664e+00
3.917740e-01,5.171504e+00
3.632171e-01,6.398130e+00
8.644917e-01,4.745673e+00
-7.018662e-01,3.481777e+00
-6.166792e-01,3.516978e+00
-4.463332e-01,3.593023e+00
1.746159e+00,5.641390e+00
-8.469053e-01,3.478922e+00
-9.046666e-01,3.451707e+00
5.986795e-01,5.887262e+00
2.545679e+00,4.531418e+00
-6.501880e-01,3.650071e+00
5.037188e-01,4.009533e+00
-4.683732e-01,6.293880e+00
-5.204111e-01,3.507761e+00
1.928802e+00,6.260202e+00
1.502530e+00,4.698590e+00
5.624547e-01,3.944920e+00
-3.303763e-01,3.624536e+00
1.589466e+00,5.300555e+00
-1.289693e-01,5.459972e+00
-4.367943e-01,3.531337e+00
-7.073488e-01,3.505189e+00
-1.955671e-01,3.622909e+00
-3.063435e-01,5.602665e+00
9.362670e-01,4.388579e+00
-1.924759e-01,3.680340e+00
2.793289e-02,4.373206e+00
-8.750047e-01,3.500179e+00
9.163643e-01,4.537576e+00
-3.052717e-01,3.606555e+00
-3.333308e-01,3.555862e+00
-7.564421e-01,3.530097e+00
-7.494419e-01,3.731902e+00
1.307781e+00,6.157722e+00
1.114273e+00,5.103774e+00
-4.237982e-01,3.546655e+00
7.525447e-02,3.797504e+00
4.329602e-01,4.527369e+00
1.685602e-01,3.899788e+00
1.211411e+00,6.397985e+00
-7.081555e-01,3.467090e+00
-2.925718e-01,3.599564e+00
-7.058957e-01,3.524697e+00
4.483018e-01,4.145219e+00
