k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
0.000000e+00,2.318057e+02,3.420779e+02,3.420779e+00,9.609675e+01,1.568696e+02,1.568696e+00
2.033942e-03,1.883348e+02,1.844769e+02,1.844769e+00,8.354851e+01,7.930993e+01,7.930993e-01
4.067884e-03,1.702292e+02,1.749777e+02,1.749777e+00,7.600235e+01,7.152430e+01,7.152430e-01
6.101825e-03,1.268395e+02,1.262986e+02,1.262986e+00,5.483068e+01,5.297076e+01,5.297076e-01
8.135767e-03,1.156923e+02,1.216363e+02,1.216363e+00,5.054983e+01,5.104589e+01,5.104589e-01
1.016971e-02,9.808388e+01,1.013886e+02,1.013886e+00,4.368198e+01,4.407139e+01,4.407139e-01
1.220365e-02,8.095522e+01,8.287847e+01,8.287847e-01,3.614480e+01,3.592390e+01,3.592390e-01
1.423759e-02,7.400134e+01,7.705070e+01,7.705070e-01,3.271231e+01,3.279198e+01,3.279198e-01
1.627153e-02,6.494125e+01,6.591651e+01,6.591651e-01,2.950850e+01,2.890160e+01,2.890160e-01
1.830548e-02,5.840782e+01,5.920315e+01,5.920315e-01,2.646881e+01,2.599568e+01,2.599568e-01
2.033942e-02,5.088176e+01,5.148076e+01,5.148076e-01,2.325246e+01,2.265508e+01,2.265508e-01
2.237336e-02,4.549219e+01,4.676879e+01,4.676879e-01,2.070764e+01,2.094458e+01,2.094458e-01
2.440730e-02,4.080238e+01,4.235130e+01,4.235130e-01,1.879963e+01,1.876260e+01,1.876260e-01
2.644124e-02,3.670674e+01,3.887717e+01,3.887717e-01,1.709395e+01,1.747819e+01,1.747819e-01
2.847519e-02,3.247513e+01,3.384088e+01,3.384088e-01,1.524170e+01,1.539011e+01,1.539011e-01
3.050913e-02,3.019905e+01,3.254775e+01,3.254775e-01,1.428109e+01,1.479526e+01,1.479526e-01
3.254307e-02,2.678777e+01,2.761428e+01,2.761428e-01,1.262191e+01,1.266359e+01,1.266359e-01
3.457701e-02,2.410952e+01,2.527069e+01,2.527069e-01,1.171834e+01,1.186801e+01,1.186801e-01
3.661095e-02,2.235834e+01,2.413398e+01,2.413398e-01,1.089375e+01,1.119094e+01,1.119094e-01
3.864489e-02,2.014164e+01,2.164208e+01,2.164208e-01,9.780483e+00,9.998144e+00,9.998144e-02
4.067884e-02,1.777368e+01,1.893313e+01,1.893313e-01,8.871859e+00,9.091585e+00,9.091585e-02
4.271278e-02,1.625222e+01,1.675432e+01,1.675432e-01,8.076143e+00,8.077939e+00,8.077939e-02
4.474672e-02,1.455954e+01,1.521920e+01,1.521920e-01,7.281833e+00,7.291868e+00,7.291868e-02
4.678066e-02,1.333839e+01,1.423175e+01,1.423175e-01,6.784140e+00,6.870698e+00,6.870698e-02
4.881460e-02,1.202106e+01,1.303098e+01,1.303098e-01,6.119027e+00,6.219133e+00,6.219133e-02
5.084854e-02,1.082852e+01,1.180479e+01,1.180479e-01,5.574083e+00,5.723261e+00,5.723261e-02
5.288249e-02,9.743691e+00,1.063246e+01,1.063246e-01,5.096270e+00,5.377277e+00,5.377277e-02
5.491643e-02,8.954748e+00,9.711981e+00,9.711981e-02,4.666953e+00,4.828867e+00,4.828867e-02
5.695037e-02,8.199851e+00,8.786324e+00,8.786324e-02,4.278455e+00,4.350195e+00,4.350195e-02
5.898431e-02,7.460048e+00,8.181024e+00,8.181024e-02,3.962762e+00,4.172429e+00,4.172429e-02
6.101825e-02,6.698059e+00,7.411073e+00,7.411073e-02,3.596665e+00,3.830123e+00,3.830123e-02
6.305220e-02,6.005434e+00,6.502420e+00,6.502420e-02,3.265833e+00,3.410640e+00,3.410640e-02
6.508614e-02,5.471634e+00,6.053401e+00,6.053401e-02,2.996187e+00,3.147987e+00,3.147987e-02
6.712008e-02,5.018461e+00,5.480328e+00,5.480328e-02,2.779631e+00,2.932283e+00,2.932283e-02
