# n_pixels = 249990000
# n_pixels_in_grid = 130019596
# n_bins = 60
# grid = fixed, log10(tau) in [-3, 2]
# frac_tau_zero = 4.352174e-06
# frac_tau_underflow = 4.795107e-01
# frac_tau_overflow = 3.857914e-04
# density: normalised over the in-grid pixels only
# density_err: Poisson, sqrt(count) / (n_pixels_in_grid * bin_width)
#
log_tau_bin_center,log_tau_bin_low,log_tau_bin_high,density,density_err,count
-2.958333e+00,-3.000000e+00,-2.916667e+00,8.964386e-01,2.876382e-04,9712882
-2.875000e+00,-2.916667e+00,-2.833333e+00,8.450899e-01,2.792786e-04,9156521
-2.791667e+00,-2.833333e+00,-2.750000e+00,7.873353e-01,2.695666e-04,8530752
-2.708333e+00,-2.750000e+00,-2.666667e+00,7.284024e-01,2.592817e-04,7892216
-2.625000e+00,-2.666667e+00,-2.583333e+00,6.718503e-01,2.490133e-04,7279475
-2.541667e+00,-2.583333e+00,-2.500000e+00,6.115678e-01,2.375793e-04,6626317
-2.458333e+00,-2.500000e+00,-2.416667e+00,5.572350e-01,2.267804e-04,6037623
-2.375000e+00,-2.416667e+00,-2.333333e+00,5.109266e-01,2.171528e-04,5535873
-2.291667e+00,-2.333333e+00,-2.250000e+00,4.699796e-01,2.082695e-04,5092213
-2.208333e+00,-2.250000e+00,-2.166667e+00,4.331147e-01,1.999345e-04,4692783
-2.125000e+00,-2.166667e+00,-2.083333e+00,4.025173e-01,1.927429e-04,4361261
-2.041667e+00,-2.083333e+00,-2.000000e+00,3.744201e-01,1.858942e-04,4056829
-1.958333e+00,-2.000000e+00,-1.916667e+00,3.516295e-01,1.801478e-04,3809894
-1.875000e+00,-1.916667e+00,-1.833333e+00,3.311494e-01,1.748229e-04,3587993
-1.791667e+00,-1.833333e+00,-1.750000e+00,3.132550e-01,1.700338e-04,3394107
-1.708333e+00,-1.750000e+00,-1.666667e+00,2.957393e-01,1.652117e-04,3204325
-1.625000e+00,-1.666667e+00,-1.583333e+00,2.815332e-01,1.611948e-04,3050403
-1.541667e+00,-1.583333e+00,-1.500000e+00,2.667411e-01,1.569030e-04,2890131
-1.458333e+00,-1.500000e+00,-1.416667e+00,2.523969e-01,1.526259e-04,2734712
-1.375000e+00,-1.416667e+00,-1.333333e+00,2.369323e-01,1.478762e-04,2567153
-1.291667e+00,-1.333333e+00,-1.250000e+00,2.214502e-01,1.429632e-04,2399405
-1.208333e+00,-1.250000e+00,-1.166667e+00,2.089588e-01,1.388726e-04,2264062
-1.125000e+00,-1.166667e+00,-1.083333e+00,1.954907e-01,1.343227e-04,2118135
-1.041667e+00,-1.083333e+00,-1.000000e+00,1.837450e-01,1.302249e-04,1990871
-9.583333e-01,-1.000000e+00,-9.166667e-01,1.706497e-01,1.254986e-04,1848984
-8.750000e-01,-9.166667e-01,-8.333333e-01,1.583456e-01,1.208897e-04,1715669
-7.916667e-01,-8.333333e-01,-7.500000e-01,1.467286e-01,1.163707e-04,1589799
-7.083333e-01,-7.500000e-01,-6.666667e-01,1.353971e-01,1.117869e-04,1467023
-6.250000e-01,-6.666667e-01,-5.833333e-01,1.258185e-01,1.077602e-04,1363239
-5.416667e-01,-5.833333e-01,-5.000000e-01,1.152400e-01,1.031307e-04,1248622
-4.583333e-01,-5.000000e-01,-4.166667e-01,1.051122e-01,9.849468e-05,1138887
-3.750000e-01,-4.166667e-01,-3.333333e-01,9.366914e-02,9.297892e-05,1014902
-2.916667e-01,-3.333333e-01,-2.500000e-01,8.357571e-02,8.782664e-05,905540
-2.083333e-01,-2.500000e-01,-1.666667e-01,7.407942e-02,8.268657e-05,802648
-1.250000e-01,-1.666667e-01,-8.333333e-02,6.543804e-02,7.771438e-05,709019
-4.166667e-02,-8.333333e-02,0.000000e+00,5.662583e-02,7.229255e-05,613539
4.166667e-02,0.000000e+00,8.333333e-02,4.872789e-02,6.706177e-05,527965
1.250000e-01,8.333333e-02,1.666667e-01,4.033515e-02,6.101380e-05,437030
2.083333e-01,1.666667e-01,2.500000e-01,3.285945e-02,5.507016e-05,356031
2.916667e-01,2.500000e-01,3.333333e-01,2.532311e-02,4.834424e-05,274375
3.750000e-01,3.333333e-01,4.166667e-01,2.037561e-02,4.336521e-05,220769
4.583333e-01,4.166667e-01,5.000000e-01,1.595704e-02,3.837624e-05,172894
5.416667e-01,5.000000e-01,5.833333e-01,1.279524e-02,3.436453e-05,138636
6.250000e-01,5.833333e-01,6.666667e-01,9.848854e-03,3.014943e-05,106712
7.083333e-01,6.666667e-01,7.500000e-01,7.839618e-03,2.689885e-05,84942
7.916667e-01,7.500000e-01,8.333333e-01,5.706340e-03,2.294907e-05,61828
8.750000e-01,8.333333e-01,9.166667e-01,4.573987e-03,2.054630e-05,49559
9.583333e-01,9.166667e-01,1.000000e+00,3.481321e-03,1.792496e-05,37720
1.041667e+00,1.000000e+00,1.083333e+00,2.587272e-03,1.545280e-05,28033
1.125000e+00,1.083333e+00,1.166667e+00,2.000006e-03,1.358632e-05,21670
1.208333e+00,1.166667e+00,1.250000e+00,1.737154e-03,1.266209e-05,18822
1.291667e+00,1.250000e+00,1.333333e+00,1.413756e-03,1.142282e-05,15318
1.375000e+00,1.333333e+00,1.416667e+00,1.199542e-03,1.052190e-05,12997
1.458333e+00,1.416667e+00,1.500000e+00,9.455498e-04,9.341754e-06,10245
1.541667e+00,1.500000e+00,1.583333e+00,7.894810e-04,8.536052e-06,8554
1.625000e+00,1.583333e+00,1.666667e+00,7.362275e-04,8.243132e-06,7977
1.708333e+00,1.666667e+00,1.750000e+00,6.463333e-04,7.723506e-06,7003
1.791667e+00,1.750000e+00,1.833333e+00,5.174912e-04,6.910949e-06,5607
1.875000e+00,1.833333e+00,1.916667e+00,5.308738e-04,6.999739e-06,5752
1.958333e+00,1.916667e+00,2.000000e+00,4.937717e-04,6.750708e-06,5350
