# n_pixels = 261930000
# n_bins = 50
# grid = fixed, [0, 1]
# density: normalised so sum(density * bin_width) = 1
# density_err: Poisson, sqrt(count) / (n_pixels * bin_width)
# computed from RESCALED optical depths
# tau_scale_factor = 0.43634474271032275
# mean_flux_target = 0.8069154337537775
#
flux_bin_center,flux_bin_low,flux_bin_high,density,density_err,count
1.000000e-02,0.000000e+00,2.000000e-02,1.833553e+00,5.916150e-04,9605253
3.000000e-02,2.000000e-02,4.000000e-02,3.256065e-01,2.493095e-04,1705722
5.000000e-02,4.000000e-02,6.000000e-02,2.581283e-01,2.219781e-04,1352231
7.000000e-02,6.000000e-02,8.000000e-02,2.281709e-01,2.087000e-04,1195296
9.000000e-02,8.000000e-02,1.000000e-01,2.109741e-01,2.006813e-04,1105209
1.100000e-01,1.000000e-01,1.200000e-01,1.983499e-01,1.945846e-04,1039076
1.300000e-01,1.200000e-01,1.400000e-01,1.944476e-01,1.926609e-04,1018633
1.500000e-01,1.400000e-01,1.600000e-01,1.902146e-01,1.905523e-04,996458
1.700000e-01,1.600000e-01,1.800000e-01,1.886426e-01,1.897633e-04,988223
1.900000e-01,1.800000e-01,2.000000e-01,1.847889e-01,1.878150e-04,968035
2.100000e-01,2.000000e-01,2.200000e-01,1.864246e-01,1.886444e-04,976604
2.300000e-01,2.200000e-01,2.400000e-01,1.868927e-01,1.888811e-04,979056
2.500000e-01,2.400000e-01,2.600000e-01,1.882209e-01,1.895511e-04,986014
2.700000e-01,2.600000e-01,2.800000e-01,1.908768e-01,1.908837e-04,999927
2.900000e-01,2.800000e-01,3.000000e-01,1.936319e-01,1.922564e-04,1014360
3.100000e-01,3.000000e-01,3.200000e-01,1.981757e-01,1.944991e-04,1038163
3.300000e-01,3.200000e-01,3.400000e-01,2.000454e-01,1.954145e-04,1047958
3.500000e-01,3.400000e-01,3.600000e-01,2.041110e-01,1.973902e-04,1069256
3.700000e-01,3.600000e-01,3.800000e-01,2.095846e-01,2.000194e-04,1097930
3.900000e-01,3.800000e-01,4.000000e-01,2.163677e-01,2.032304e-04,1133464
4.100000e-01,4.000000e-01,4.200000e-01,2.234587e-01,2.065338e-04,1170611
4.300000e-01,4.200000e-01,4.400000e-01,2.314351e-01,2.101876e-04,1212396
4.500000e-01,4.400000e-01,4.600000e-01,2.384878e-01,2.133661e-04,1249342
4.700000e-01,4.600000e-01,4.800000e-01,2.470630e-01,2.171682e-04,1294264
4.900000e-01,4.800000e-01,5.000000e-01,2.548832e-01,2.205784e-04,1335231
5.100000e-01,5.000000e-01,5.200000e-01,2.660591e-01,2.253624e-04,1393777
5.300000e-01,5.200000e-01,5.400000e-01,2.770107e-01,2.299538e-04,1451148
5.500000e-01,5.400000e-01,5.600000e-01,2.884587e-01,2.346574e-04,1511120
5.700000e-01,5.600000e-01,5.800000e-01,3.005645e-01,2.395307e-04,1574537
5.900000e-01,5.800000e-01,6.000000e-01,3.175635e-01,2.462111e-04,1663588
6.100000e-01,6.000000e-01,6.200000e-01,3.349727e-01,2.528699e-04,1754788
6.300000e-01,6.200000e-01,6.400000e-01,3.520929e-01,2.592514e-04,1844474
6.500000e-01,6.400000e-01,6.600000e-01,3.759987e-01,2.679079e-04,1969707
6.700000e-01,6.600000e-01,6.800000e-01,4.038514e-01,2.776535e-04,2115616
6.900000e-01,6.800000e-01,7.000000e-01,4.340673e-01,2.878531e-04,2273905
7.100000e-01,7.000000e-01,7.200000e-01,4.683408e-01,2.990015e-04,2453450
7.300000e-01,7.200000e-01,7.400000e-01,5.129290e-01,3.129111e-04,2687030
7.500000e-01,7.400000e-01,7.600000e-01,5.646388e-01,3.283052e-04,2957917
7.700000e-01,7.600000e-01,7.800000e-01,6.280264e-01,3.462433e-04,3289979
7.900000e-01,7.800000e-01,8.000000e-01,7.097072e-01,3.680713e-04,3717872
8.100000e-01,8.000000e-01,8.200000e-01,8.085553e-01,3.928685e-04,4235698
8.300000e-01,8.200000e-01,8.400000e-01,9.514099e-01,4.261635e-04,4984056
8.500000e-01,8.400000e-01,8.600000e-01,1.142115e+00,4.669252e-04,5983084
8.700000e-01,8.600000e-01,8.800000e-01,1.411937e+00,5.191585e-04,7396572
8.900000e-01,8.800000e-01,9.000000e-01,1.803540e+00,5.867529e-04,9448024
9.100000e-01,9.000000e-01,9.200000e-01,2.417138e+00,6.792711e-04,12662420
9.300000e-01,9.200000e-01,9.400000e-01,3.470444e+00,8.139260e-04,18180269
9.500000e-01,9.400000e-01,9.600000e-01,5.490403e+00,1.023751e-03,28762027
9.700000e-01,9.600000e-01,9.800000e-01,9.696981e+00,1.360538e-03,50798607
9.900000e-01,9.800000e-01,1.000000e+00,9.590658e+00,1.353059e-03,50241623
